iso_o,country,TIME_PERIOD,LTE
ARG,Argentina,2000,0.0
ARG,Argentina,2001,0.0
ARG,Argentina,2002,0.0
ARG,Argentina,2003,0.0
ARG,Argentina,2004,0.0
ARG,Argentina,2005,0.0
ARG,Argentina,2006,0.0
ARG,Argentina,2007,0.0
ARG,Argentina,2008,0.0
ARG,Argentina,2009,0.0
ARG,Argentina,2010,0.0
ARG,Argentina,2011,0.0
ARG,Argentina,2012,0.0
ARG,Argentina,2013,0.0
ARG,Argentina,2014,1.0
ARG,Argentina,2015,1.0
ARG,Argentina,2016,1.0
ARG,Argentina,2017,1.0
ARG,Argentina,2018,1.0
ARG,Argentina,2019,1.0
ARG,Argentina,2020,1.0
AUS,Australia,2000,0.0
AUS,Australia,2001,0.0
AUS,Australia,2002,0.0
AUS,Australia,2003,0.0
AUS,Australia,2004,0.0
AUS,Australia,2005,0.0
AUS,Australia,2006,0.0
AUS,Australia,2007,0.0
AUS,Australia,2008,0.0
AUS,Australia,2009,0.0
AUS,Australia,2010,0.0
AUS,Australia,2011,1.0
AUS,Australia,2012,1.0
AUS,Australia,2013,1.0
AUS,Australia,2014,1.0
AUS,Australia,2015,1.0
AUS,Australia,2016,1.0
AUS,Australia,2017,1.0
AUS,Australia,2018,1.0
AUS,Australia,2019,1.0
AUS,Australia,2020,1.0
AUT,Austria,2000,0.0
AUT,Austria,2001,0.0
AUT,Austria,2002,0.0
AUT,Austria,2003,0.0
AUT,Austria,2004,0.0
AUT,Austria,2005,0.0
AUT,Austria,2006,0.0
AUT,Austria,2007,0.0
AUT,Austria,2008,0.0
AUT,Austria,2009,0.0
AUT,Austria,2010,1.0
AUT,Austria,2011,1.0
AUT,Austria,2012,1.0
AUT,Austria,2013,1.0
AUT,Austria,2014,1.0
AUT,Austria,2015,1.0
AUT,Austria,2016,1.0
AUT,Austria,2017,1.0
AUT,Austria,2018,1.0
AUT,Austria,2019,1.0
AUT,Austria,2020,1.0
BGD,Bangladesh,2000,0.0
BGD,Bangladesh,2001,0.0
BGD,Bangladesh,2002,0.0
BGD,Bangladesh,2003,0.0
BGD,Bangladesh,2004,0.0
BGD,Bangladesh,2005,0.0
BGD,Bangladesh,2006,0.0
BGD,Bangladesh,2007,0.0
BGD,Bangladesh,2008,0.0
BGD,Bangladesh,2009,0.0
BGD,Bangladesh,2010,0.0
BGD,Bangladesh,2011,0.0
BGD,Bangladesh,2012,0.0
BGD,Bangladesh,2013,1.0
BGD,Bangladesh,2014,1.0
BGD,Bangladesh,2015,1.0
BGD,Bangladesh,2016,1.0
BGD,Bangladesh,2017,1.0
BGD,Bangladesh,2018,1.0
BGD,Bangladesh,2019,1.0
BGD,Bangladesh,2020,1.0
BLR,Belarus,2000,0.0
BLR,Belarus,2001,0.0
BLR,Belarus,2002,0.0
BLR,Belarus,2003,0.0
BLR,Belarus,2004,0.0
BLR,Belarus,2005,0.0
BLR,Belarus,2006,0.0
BLR,Belarus,2007,0.0
BLR,Belarus,2008,0.0
BLR,Belarus,2009,0.0
BLR,Belarus,2010,0.0
BLR,Belarus,2011,1.0
BLR,Belarus,2012,1.0
BLR,Belarus,2013,1.0
BLR,Belarus,2014,1.0
BLR,Belarus,2015,1.0
BLR,Belarus,2016,1.0
BLR,Belarus,2017,1.0
BLR,Belarus,2018,1.0
BLR,Belarus,2019,1.0
BLR,Belarus,2020,1.0
BEL,Belgium,2000,0.0
BEL,Belgium,2001,0.0
BEL,Belgium,2002,0.0
BEL,Belgium,2003,0.0
BEL,Belgium,2004,0.0
BEL,Belgium,2005,0.0
BEL,Belgium,2006,0.0
BEL,Belgium,2007,0.0
BEL,Belgium,2008,0.0
BEL,Belgium,2009,0.0
BEL,Belgium,2010,0.0
BEL,Belgium,2011,0.0
BEL,Belgium,2012,1.0
BEL,Belgium,2013,1.0
BEL,Belgium,2014,1.0
BEL,Belgium,2015,1.0
BEL,Belgium,2016,1.0
BEL,Belgium,2017,1.0
BEL,Belgium,2018,1.0
BEL,Belgium,2019,1.0
BEL,Belgium,2020,1.0
BRA,Brazil,2000,0.0
BRA,Brazil,2001,0.0
BRA,Brazil,2002,0.0
BRA,Brazil,2003,0.0
BRA,Brazil,2004,0.0
BRA,Brazil,2005,0.0
BRA,Brazil,2006,0.0
BRA,Brazil,2007,0.0
BRA,Brazil,2008,0.0
BRA,Brazil,2009,0.0
BRA,Brazil,2010,0.0
BRA,Brazil,2011,1.0
BRA,Brazil,2012,1.0
BRA,Brazil,2013,1.0
BRA,Brazil,2014,1.0
BRA,Brazil,2015,1.0
BRA,Brazil,2016,1.0
BRA,Brazil,2017,1.0
BRA,Brazil,2018,1.0
BRA,Brazil,2019,1.0
BRA,Brazil,2020,1.0
BRN,Brunei Darussalam,2000,0.0
BRN,Brunei Darussalam,2001,0.0
BRN,Brunei Darussalam,2002,0.0
BRN,Brunei Darussalam,2003,0.0
BRN,Brunei Darussalam,2004,0.0
BRN,Brunei Darussalam,2005,0.0
BRN,Brunei Darussalam,2006,0.0
BRN,Brunei Darussalam,2007,0.0
BRN,Brunei Darussalam,2008,0.0
BRN,Brunei Darussalam,2009,0.0
BRN,Brunei Darussalam,2010,0.0
BRN,Brunei Darussalam,2011,0.0
BRN,Brunei Darussalam,2012,0.0
BRN,Brunei Darussalam,2013,1.0
BRN,Brunei Darussalam,2014,1.0
BRN,Brunei Darussalam,2015,1.0
BRN,Brunei Darussalam,2016,1.0
BRN,Brunei Darussalam,2017,1.0
BRN,Brunei Darussalam,2018,1.0
BRN,Brunei Darussalam,2019,1.0
BRN,Brunei Darussalam,2020,1.0
BGR,Bulgaria,2000,0.0
BGR,Bulgaria,2001,0.0
BGR,Bulgaria,2002,0.0
BGR,Bulgaria,2003,0.0
BGR,Bulgaria,2004,0.0
BGR,Bulgaria,2005,0.0
BGR,Bulgaria,2006,0.0
BGR,Bulgaria,2007,0.0
BGR,Bulgaria,2008,0.0
BGR,Bulgaria,2009,0.0
BGR,Bulgaria,2010,0.0
BGR,Bulgaria,2011,0.0
BGR,Bulgaria,2012,0.0
BGR,Bulgaria,2013,0.0
BGR,Bulgaria,2014,1.0
BGR,Bulgaria,2015,1.0
BGR,Bulgaria,2016,1.0
BGR,Bulgaria,2017,1.0
BGR,Bulgaria,2018,1.0
BGR,Bulgaria,2019,1.0
BGR,Bulgaria,2020,1.0
KHM,Cambodia,2000,0.0
KHM,Cambodia,2001,0.0
KHM,Cambodia,2002,0.0
KHM,Cambodia,2003,0.0
KHM,Cambodia,2004,0.0
KHM,Cambodia,2005,0.0
KHM,Cambodia,2006,0.0
KHM,Cambodia,2007,0.0
KHM,Cambodia,2008,0.0
KHM,Cambodia,2009,0.0
KHM,Cambodia,2010,0.0
KHM,Cambodia,2011,0.0
KHM,Cambodia,2012,0.0
KHM,Cambodia,2013,0.0
KHM,Cambodia,2014,0.0
KHM,Cambodia,2015,1.0
KHM,Cambodia,2016,1.0
KHM,Cambodia,2017,1.0
KHM,Cambodia,2018,1.0
KHM,Cambodia,2019,1.0
KHM,Cambodia,2020,1.0
CMR,Cameroon,2000,0.0
CMR,Cameroon,2001,0.0
CMR,Cameroon,2002,0.0
CMR,Cameroon,2003,0.0
CMR,Cameroon,2004,0.0
CMR,Cameroon,2005,0.0
CMR,Cameroon,2006,0.0
CMR,Cameroon,2007,0.0
CMR,Cameroon,2008,0.0
CMR,Cameroon,2009,0.0
CMR,Cameroon,2010,0.0
CMR,Cameroon,2011,0.0
CMR,Cameroon,2012,0.0
CMR,Cameroon,2013,0.0
CMR,Cameroon,2014,0.0
CMR,Cameroon,2015,0.0
CMR,Cameroon,2016,1.0
CMR,Cameroon,2017,1.0
CMR,Cameroon,2018,1.0
CMR,Cameroon,2019,1.0
CMR,Cameroon,2020,1.0
CAN,Canada,2000,0.0
CAN,Canada,2001,0.0
CAN,Canada,2002,0.0
CAN,Canada,2003,0.0
CAN,Canada,2004,0.0
CAN,Canada,2005,0.0
CAN,Canada,2006,0.0
CAN,Canada,2007,0.0
CAN,Canada,2008,0.0
CAN,Canada,2009,0.0
CAN,Canada,2010,0.0
CAN,Canada,2011,1.0
CAN,Canada,2012,1.0
CAN,Canada,2013,1.0
CAN,Canada,2014,1.0
CAN,Canada,2015,1.0
CAN,Canada,2016,1.0
CAN,Canada,2017,1.0
CAN,Canada,2018,1.0
CAN,Canada,2019,1.0
CAN,Canada,2020,1.0
CHL,Chile,2000,0.0
CHL,Chile,2001,0.0
CHL,Chile,2002,0.0
CHL,Chile,2003,0.0
CHL,Chile,2004,0.0
CHL,Chile,2005,0.0
CHL,Chile,2006,0.0
CHL,Chile,2007,0.0
CHL,Chile,2008,0.0
CHL,Chile,2009,0.0
CHL,Chile,2010,0.0
CHL,Chile,2011,0.0
CHL,Chile,2012,0.0
CHL,Chile,2013,1.0
CHL,Chile,2014,1.0
CHL,Chile,2015,1.0
CHL,Chile,2016,1.0
CHL,Chile,2017,1.0
CHL,Chile,2018,1.0
CHL,Chile,2019,1.0
CHL,Chile,2020,1.0
CHN,China,2000,0.0
CHN,China,2001,0.0
CHN,China,2002,0.0
CHN,China,2003,0.0
CHN,China,2004,0.0
CHN,China,2005,0.0
CHN,China,2006,0.0
CHN,China,2007,0.0
CHN,China,2008,0.0
CHN,China,2009,0.0
CHN,China,2010,0.0
CHN,China,2011,0.0
CHN,China,2012,0.0
CHN,China,2013,1.0
CHN,China,2014,1.0
CHN,China,2015,1.0
CHN,China,2016,1.0
CHN,China,2017,1.0
CHN,China,2018,1.0
CHN,China,2019,1.0
CHN,China,2020,1.0
COL,Colombia,2000,0.0
COL,Colombia,2001,0.0
COL,Colombia,2002,0.0
COL,Colombia,2003,0.0
COL,Colombia,2004,0.0
COL,Colombia,2005,0.0
COL,Colombia,2006,0.0
COL,Colombia,2007,0.0
COL,Colombia,2008,0.0
COL,Colombia,2009,0.0
COL,Colombia,2010,0.0
COL,Colombia,2011,0.0
COL,Colombia,2012,1.0
COL,Colombia,2013,1.0
COL,Colombia,2014,1.0
COL,Colombia,2015,1.0
COL,Colombia,2016,1.0
