"","id","sigma_in","sigma_out","sigma_all","RANK","RANKout","RANKin","in_cp","out_cp","all_cp","X","sigma_cp","rank_cp","cp","country","TIME_PERIOD","LTE","internet","gdp_pct","schooling","log_gdp_pct","D_log_gdp_pct","D_internet","landlocked","continent","lat","lon","langoff_1","colonizer1","category","development"
"1","ARG",210818643,184081316,394899959,40,40,40,0,0,0,1,394899959,40,0,"Argentina",2000,0,7.04,10631.65,15.68757,9.2715912,-0.019251823,3.76,0,"America",-34.666668,-58.5,"Spanish","ESP","Emerging and Developing Economies",0
"2","AUS",505256380,477370344,982626724,24,24,20,0,0,0,2,982626724,24,0,"Australia",2000,0,46.799999,45859.52,20.779854,10.733338,0.027021408,6,0,"Pacific",-35.299999,149.133,"English","GBR","Advanced Economies",1
"3","AUT",532197063,465961186,998158249,25,25,19,0,0,0,3,998158249,25,0,"Austria",2000,0,33.700001,38571.09,15.232909,10.560258,0.028991699,10.700001,1,"Europe",48.216667,16.366667,"German","","Advanced Economies",1
"4","BEL",1278535327,1151500304,2430035631,10,10,10,0,0,0,4,2430035631,10,0,"Belgium",2000,0,29.4,35878.32,17.771311,10.487888,0.034068108,15.599999,0,"Europe",50.833332,4.3499999,"Dutch","","Advanced Economies",1
"5","BGD",68089190,55409402,123498592,57,57,55,0,0,0,5,123498592,57,0,"Bangladesh",2000,0,0.07,620.56,7.5663266,6.4306221,0.033308983,0.030000001,0,"Asia",23.700001,90.366669,"Bengali","GBR","Emerging and Developing Economies",0
"6","BGR",54657049,39938749,94595798,60,60,60,0,0,0,6,94595798,60,0,"Bulgaria",2000,0,5.3699999,3717.9299,12.80523,8.2209225,0.049789429,2.4599998,0,"Europe",42.666668,23.299999,"Bulgarian","TUR","Emerging and Developing Economies",0
"7","BLR",80555325,60985437,141540762,53,53,51,0,0,0,7,141540762,53,0,"Belarus",2000,0,1.86,2615.3601,13.243894,7.8691568,0.061089993,1.36,0,"Europe",53.849998,27.5,"Belarussian","RUS","Emerging and Developing Economies",0
"8","BRA",380905226,384615525,765520751,27,27,21,0,0,0,8,765520751,27,0,"Brazil",2000,0,2.8699999,6817.7798,14.593233,8.8272896,0.029191017,0.82999992,0,"America",-15.78,-47.91,"Portuguese","PRT","Emerging and Developing Economies",0
"9","BRN",13685236,35848826,49534062,62,62,72,0,0,0,9,49534062,62,0,"Brunei Darussalam",2000,0,9,37509.602,11.53234,10.532352,0.012438774,1.3299999,0,"Asia",4.9333334,114.96667,"Malay","GBR","Emerging and Developing Economies",0
"10","CAN",1790612804,2507916377,4298529181,7,7,6,1,1,1,10,4298529181,7,1,"Canada",2000,0,51.299999,37906.859,15.75919,10.542888,0.04079628,15.099998,0,"America",45.419998,-75.709999,"English","GBR","Advanced Economies",1
"11","CHE",739651374,655000146,1394651520,17,17,16,0,0,0,11,1394651520,17,0,"Switzerland",2000,0,47.099998,73749.938,15.03797,11.208435,0.033204079,13.099998,1,"Europe",46.950001,7.4333334,"German","","Advanced Economies",1
"12","CHL",146366181,159119617,305485798,41,41,42,0,0,0,12,305485798,41,0,"Chile",2000,0,16.6,8465.3496,13.13626,9.0437365,0.036559105,12.5,0,"America",-33.5,-70.666664,"Spanish","ESP","Emerging and Developing Economies",0
"13","CHN",781476214,1459400084,2240876298,4,4,9,0,1,1,13,2240876298,4,1,"China",2000,0,1.78,2237.4399,9.9045601,7.7130876,0.074494362,1.0699999,0,"Asia",39.916668,116.43333,"Chinese","","Emerging and Developing Economies",0
"14","CIV",26515874,26804670,53320544,64,64,68,0,0,0,14,53320544,64,0,"Cote d'Ivoire",2000,0,0.23,1717.95,6.487278,7.4488869,-0.030339241,0.11000001,0,"Africa",5.3166666,-4.0166669,"French","FRA","Emerging and Developing Economies",0
"15","CMR",13536846,17326915,30863761,69,69,73,0,0,0,15,30863761,69,0,"Cameroon",2000,0,0.25,1151.28,7.3938899,7.0486298,0.011285782,0.12,0,"Africa",3.8499999,11.516666,"French","FRA","Emerging and Developing Economies",0
"16","COL",88566288,103760339,192326627,46,46,50,0,0,0,16,192326627,46,0,"Colombia",2000,0,2.21,4016.8101,12.15445,8.2982435,0.012450218,0.50999999,0,"America",4.6333332,-75.066666,"Spanish","ESP","Emerging and Developing Economies",0
"17","CRI",46939689,56768227,103707916,56,56,63,0,0,0,17,103707916,56,0,"Costa Rica",2000,0,5.8000002,7726.52,11.46004,8.9524136,0.018562317,1.9000001,0,"America",9.9833336,-84.066666,"Spanish","ESP","Emerging and Developing Economies",0
"18","CYP",56020770,7879064,63899834,72,72,59,0,0,0,18,63899834,72,0,"Cyprus",2000,0,15.3,22383.961,12.4038,10.0161,0.047304153,4,0,"Europe",35.150002,33.349998,"Greek","GBR","Advanced Economies",1
"19","CZE",274017825,236849445,510867270,34,34,34,0,0,0,19,510867270,34,0,"Czechia",2000,0,9.7799997,12543.94,14.02148,9.4369926,0.042127609,2.9499998,1,"Europe",50.099998,14.433333,"Czech","AUT","Advanced Economies",1
"20","DEU",344784319,572888237,917672556,2,2,2,1,1,1,20,917672556,2,1,"Germany",2000,0,30.200001,35087.09,16.16334,10.465589,0.027011871,9.4000015,0,"Europe",52.533001,13.417,"German","","Advanced Economies",1
"21","DNK",356098901,384372573,740471474,28,28,27,0,0,0,21,740471474,28,0,"Denmark",2000,0,39.200001,49266.988,16.202869,10.80501,0.033221245,8.6000004,0,"Europe",55.666668,12.583333,"Danish","","Advanced Economies",1
"22","EGY",157462893,57579848,215042741,55,55,41,0,0,0,22,215042741,55,0,"Egypt, Arab Rep.",2000,0,0.63999999,2458.6101,10.777716,7.8073516,0.040146828,0.34999999,0,"Africa",30.049999,31.25,"Arabic","GBR","Emerging and Developing Economies",0
"23","ESP",1042965306,717353577,1760318883,14,14,12,0,0,0,23,1760318883,14,0,"Spain",2000,0,13.6,24106.881,15.86467,10.090253,0.046228409,6.5100002,0,"Europe",40.416668,-3.7166667,"Spanish","","Advanced Economies",1
"24","EST",48163395,40565822,88729217,59,59,61,0,0,0,24,88729217,59,0,"Estonia",2000,0,28.6,10006.77,15.16272,9.2110167,0.091268539,14.1,0,"Europe",59.416668,24.75,"Estonian","RUS","Advanced Economies",1
"25","FIN",304644352,366465782,671110134,29,29,31,0,0,0,25,671110134,29,0,"Finland",2000,0,37.200001,37872.602,17.68335,10.541984,0.05386734,4.9000015,0,"Europe",60.133335,25,"Swedish","RUS","Advanced Economies",1
"26","FRA",1145735575,823768368,1969503943,5,5,5,1,1,1,26,1969503943,5,1,"France",2000,0,14.3,33255.141,14.93727,10.411964,0.033712387,5.1700001,0,"Europe",48.866665,2.3333333,"French","","Advanced Economies",1
"27","GBR",889853185,1122952529,2012805714,6,6,3,1,1,1,27,2012805714,6,1,"United Kingdom",2000,0,26.799999,38921.898,15.99541,10.569312,0.038927078,5.5,0,"Europe",51.5,-0.16666667,"English","","Advanced Economies",1
"28","GRC",264120701,77081842,341202543,47,47,38,0,0,0,28,341202543,47,0,"Greece",2000,0,9.1400003,18002.91,15.08322,9.7982883,0.036455154,2.2600002,0,"Europe",38,23.733334,"Greek","TUR","Advanced Economies",1
"29","HKG",944177335,671379253,1615556588,19,19,14,0,0,0,29,1615556588,19,0,"Hong Kong SAR, China",2000,0,27.799999,26933.26,12.526328,10.201118,0.065023422,6.5999985,0,"Asia",22.266666,114.15,"English","GBR","Advanced Economies",1
"30","HRV",67044438,31846045,98890483,63,63,56,0,0,0,30,98890483,63,0,"Croatia",2000,0,6.6399999,8879.96,12.82218,9.0915527,0.038890839,2.23,0,"Europe",45.799999,15.966666,"Serbo-Croatian","AUT","Advanced Economies",1
"31","HUN",290434640,254237200,544671840,35,35,36,0,0,0,31,544671840,35,0,"Hungary",2000,0,7,8979.7402,14.34342,9.102726,0.045746803,1.1399999,1,"Europe",47.5,19.049999,"Hungarian","","Emerging and Developing Economies",0
"32","IDN",286795952,518960973,805756925,26,26,33,0,0,0,32,805756925,26,0,"Indonesia",2000,0,0.93000001,1828.1,10.76461,7.5110326,0.033705711,0.49000001,0,"Asia",-6.1333332,106.75,"Indonesian","NLD","Emerging and Developing Economies",0
"33","IND",311860056,343850227,655710283,31,31,26,0,0,0,33,655710283,31,0,"India",2000,0,0.52999997,756.70001,8.3260298,6.6289668,0.018889904,0.25999996,0,"Asia",28.616667,77.216667,"English","GBR","Emerging and Developing Economies",0
"34","IRL",446794838,689339166,1136134004,20,20,23,0,0,0,34,1136134004,20,0,"Ireland",2000,0,17.9,42643.629,16.71694,10.660633,0.076541901,7,0,"Europe",53.333332,-6.25,"English","GBR","Advanced Economies",1
"35","ISL",27593925,20235781,47829706,67,67,67,0,0,0,35,47829706,67,0,"Iceland",2000,0,44.5,42174.672,17.02371,10.649575,0.034955978,3.2000008,0,"Europe",64.150002,-21.966667,"Icelandic","DNK","Advanced Economies",1
"36","ISR",312994955,283963909,596958864,32,32,32,0,0,0,36,596958864,32,0,"Israel",2000,0,20.9,29413.49,14.31398,10.289208,0.055912971,7.5,0,"Asia",32.083332,34.766666,"Hebrew","GBR","Advanced Economies",1
