"","iso_o","indegree","outdegree","between","close","eigen","TIME_PERIOD","export","import","net_imp","gdp_pct","trade_openness","schooling","internet","energy","pop_den","co2","country","continent","category","development","LTE_year","adoption_year","adopted"
"1","ARG",70,74,4.16666666666667,3.95256916996074,0.0251368590783587,2007,89.169,48.556,-40.613,12811.9,40.95,16.18906021,25.9,1845.91,14.62,4.33,"Argentina","America","Emerging and Developing Economies",0,0,2014,1
"2","AUS",74,74,0,2.32018561484929,0.089540625340318,2007,163.975,183.484,19.509,52531.76,42.01,21.93150669,69.5,5853.76,2.71,19.24,"Australia","Pacific","Advanced Economies",1,0,2011,1
"3","AUT",73,74,0,4.18410041841032,0.038441462375502,2007,66.337,99.967,33.63,43568.83,101.36,15.75800991,69.4,4010.1,100.53,9.09,"Austria","Europe","Advanced Economies",1,0,2010,1
"4","BEL",73,74,0,2.52525252525263,0.0750499814139083,2007,132.196,168.075,35.879,40520.08,152.47,19.09911919,66.8,5302.05,350.3,10.64,"Belgium","Europe","Advanced Economies",1,0,2012,1
"5","BGD",68,71,206.986111111111,4.2194092827007,0.012422848984627,2007,13.129,32.184,19.055,825.51,39.94,8.669939995,1.8,174.01,1136.89,0.31,"Bangladesh","Asia","Emerging and Developing Economies",0,0,2013,1
"6","BGR",71,72,5.21190476190476,3.6363636363639,0.00762044287509104,2007,35.696,28.07,-7.626,6048.74,123.53,14.25047016,33.6,2665.01,69.47,7.64,"Bulgaria","Europe","Emerging and Developing Economies",0,0,2014,1
"7","BLR",69,74,36.7828144078144,3.73134328358235,0.0104975615326825,2007,45.834,43.405,-2.429,4682.21,128.15,15.19005013,19.7,2925.85,47.12,6.39,"Belarus","Europe","Emerging and Developing Economies",0,0,2011,1
"8","BRA",74,74,0,3.78787878787904,0.0754681674581842,2007,251.348,152.526,-98.822,8003.25,25.29,14.95235838,30.9,1259.91,22.56,2.08,"Brazil","America","Emerging and Developing Economies",0,0,2011,1
"9","BRN",59,38,1751.78576921445,5.15463917525801,0.00105393791030842,2007,4.326,2.595,-1.731,36174.52,81.01,13.42671967,44.7,8703.67,70.37,22.07,"Brunei Darussalam","Asia","Emerging and Developing Economies",0,0,2013,1
"10","CAN",74,74,0,1.39082058414468,0.45288458284324,2007,362.882,332.783,-30.099,42106.87,66.28,15.20141029,73.2,8356.31,3.67,18.06,"Canada","America","Advanced Economies",1,0,2011,1
"11","CHE",74,74,0,2.9585798816569,0.0456673924940311,2007,42.192,94.626,52.434,81254.17,113.33,15.42905998,77.2,3391.34,191.09,5.91,"Switzerland","Europe","Advanced Economies",1,0,2012,1
"12","CHL",73,74,120.344616902705,4.48430493273571,0.0293829685327998,2007,46.116,49.43,3.314,11051.35,76.98,14.70213032,35.9,1836.96,22.42,4.06,"Chile","America","Emerging and Developing Economies",0,0,2013,1
"13","CHN",74,74,0,0.970873786407787,0.279023112517589,2007,2278.798,702.837,-1575.961,4409.76,61.27,12.20328999,16,1595.47,140.38,5.73,"China","Asia","Emerging and Developing Economies",0,0,2013,1
"14","CIV",66,66,294.045905483405,4.06504065040678,0.00215314203750556,2007,7.751,6.249,-1.502,1420.17,61.43,7.385503832,1.8,484.16,66.13,0.3,"Côte d'Ivoire","Africa","Emerging and Developing Economies",0,0,2016,1
"15","CMR",64,60,557.913522588523,4.38596491228098,0.00372583064515049,2007,6.683,4.894,-1.789,1295.73,53.22,9.09265995,2.93,352.8,38.18,0.37,"Cameroon","Africa","Emerging and Developing Economies",0,0,2016,1
"16","COL",71,72,49.7196959902842,3.6363636363639,0.0332702494400003,2007,33.01,38.178,5.168,4947.25,37.1,13.78964996,21.8,666.03,38.97,1.4,"Colombia","America","Emerging and Developing Economies",0,0,2012,1
"17","CRI",60,63,403.124741924742,4.50450450450479,0.010283470878702,2007,6.813,10.751,3.938,9779.51,86.46,12.88247572,28.4,1014.83,85.79,1.76,"Costa Rica","America","Emerging and Developing Economies",0,0,2013,1
"18","CYP",70,70,216.456757784699,4.09836065573798,0.00223666747001207,2007,4.625,7.511,2.886,27156.82,111.28,13.44102955,40.8,2293.75,116.09,7.75,"Cyprus","Europe","Advanced Economies",1,0,2015,1
"19","CZE",73,73,14.9142968142968,3.77358490566065,0.0293820553767651,2007,92.192,80.869,-11.323,16892.54,129.88,15.63811016,51.9,4485.48,133.32,12.85,"Czech Republic","Europe","Advanced Economies",1,0,2012,1
"20","DEU",74,74,0,0.59952038369305,0.284979553015732,2007,527.996,749.209,221.213,38570.91,74.88,16.66491115,75.2,4023.74,235.94,10.05,"Germany","Europe","Advanced Economies",1,0,2011,1
"21","DNK",73,74,0,2.94117647058832,0.0304757424902923,2007,95.701,76.845,-18.856,54113.98,100.05,16.80562973,85,3626.53,136.54,9.87,"Denmark","Europe","Advanced Economies",1,0,2010,1
"22","EGY",73,74,1.17606837606838,4.0816326530615,0.0267436693129543,2007,58.154,58.166,0.0120000000000005,2902.07,65.08,10.92916965,16,844.38,84.66,2.4,"Egypt","Africa","Emerging and Developing Economies",0,0,2017,1
"23","ESP",74,74,0,2.94117647058832,0.125884960565478,2007,182.782,320.109,137.327,27338.8,57.63,15.91164017,55.1,3168.96,90.61,8.28,"Spain","Europe","Advanced Economies",1,0,2013,1
"24","EST",66,70,5.06590909090909,4.00000000000025,0.00313243219463284,2007,12.539,11.263,-1.276,17543.47,133.98,16.43349075,66.2,4690.14,31.63,16.6,"Estonia","Europe","Advanced Economies",1,0,2010,1
"25","FIN",74,74,0,3.33333333333354,0.0270281483829462,2007,61.265,75.498,14.233,46213.69,82.86,17.13093948,80.8,6968.91,17.39,12.87,"Finland","Europe","Advanced Economies",1,0,2010,1
"26","FRA",74,74,0,2.05761316872432,0.19204367187519,2007,244.353,461.099,216.746,36322.17,58.15,15.35235023,66.1,4142.18,118.78,6.1,"France","Europe","Advanced Economies",1,0,2012,1
"27","GBR",74,74,0,1.00300902708126,0.226276802455172,2007,220.503,474.712,254.209,44524.57,52.96,15.90310001,75.1,3443.59,253.47,8.97,"United Kingdom","Europe","Advanced Economies",1,0,2012,1
"28","GRC",72,74,0,3.74531835206019,0.0282858917208422,2007,43.55,84.071,40.521,23973.69,54.53,15.9950304,35.9,2737.5,85.71,9.59,"Greece","Europe","Advanced Economies",1,0,2012,1
"29","HKG",74,74,0,2.82485875706225,0.0725734262899859,2007,85.681,124.578,38.897,36371.7,362.15,14.5418396,64.8,2045.97,6586.95,6.42,"Hong Kong SAR","Asia","Advanced Economies",1,0,2010,1
"30","HRV",71,70,126.343194713783,4.18410041841032,0.00566807147301541,2007,11.792,19.32,7.528,12719,83.25,14.55031013,41.4,2335.4,77.02,5.69,"Croatia","Europe","Advanced Economies",1,0,2012,1
"31","HUN",71,73,30.4494810744811,3.78787878787905,0.0236423100570225,2007,61.687,70.04,8.35299999999999,11791.71,155.6,15.45895958,53.3,2709.84,112.22,5.88,"Hungary","Europe","Emerging and Developing Economies",0,0,2012,1
"32","IDN",74,74,0,3.58422939068126,0.0625104937186249,2007,175.118,128.741,-46.377,2355.15,54.83,12.01272011,5.79,628.6,126.26,1.7,"Indonesia","Asia","Emerging and Developing Economies",0,0,2013,1
"33","IND",74,74,0,2.16919739696324,0.121195046042813,2007,337.928,308.68,-29.248,1069.25,45.69,10.56919956,3.95,461.2,400.47,1.19,"India","Asia","Emerging and Developing Economies",0,0,2012,1
"34","IRL",73,74,0,2.94985250737472,0.0460253340024127,2007,54.302,64.556,10.254,52904.47,153.4,17.49214935,61.2,3407.89,63.85,10.67,"Ireland","Europe","Advanced Economies",1,0,2013,1
"35","ISL",67,66,272.815848857025,4.20168067226919,0.00316710948426369,2007,4.52,5.313,0.793,53646.37,74.67,17.97085953,90.6,15188.38,3.11,11.16,"Iceland","Europe","Advanced Economies",1,0,2013,1
"36","ISR",73,72,1.18568931068931,3.77358490566063,0.0269614395646357,2007,27.104,49.4,22.296,32103.16,78.84,14.7148304,48.1,2899.35,331.8,9.41,"Israel","Asia","Advanced Economies",1,0,2014,1
"37","ITA",74,74,0,3.74531835206019,0.155658596564355,2007,253.636,460.752,207.116,34159.91,54.83,16.38709068,40.8,3132.9,198.69,8.18,"Italy","Europe","Advanced Economies",1,0,2012,1
"38","JOR",66,67,69.0288059163059,4.23728813559349,0.00448950330427256,2007,8.522,13.447,4.925,4287.35,145.99,12.84978008,20,1055.85,77.37,3.13,"Jordan","Asia","Emerging and Developing Economies",0,0,2014,1
"39","JPN",74,74,0,0.969932104752688,0.39538096774865,2007,365.912,755.634,389.722,33990.04,32.82,15.20733411,74.3,4020.81,351.17,10.13,"Japan","Asia","Advanced Economies",1,0,2010,1
"40","KAZ",70,70,128.871545937722,4.29184549356251,0.0184338358412203,2007,111.563,54.058,-57.505,8036.88,92.16,14.60829234,4.02,4065.37,6.02,13.51,"Kazakhstan","Asia","Emerging and Developing Economies",0,0,2012,1
"41","KHM",57,67,1456.22737915679,4.8076923076926,0.00242005928908435,2007,11.29,7.089,-4.201,1030.23,133.7,11.16427994,0.49,298.21,78.41,0.27,"Cambodia","Asia","Emerging and Developing Economies",0,0,2015,1
"42","KOR",74,74,0,2.15053763440871,0.237223712853927,2007,292.11,449.404,157.294,23365.14,73.87,16.62828064,78.8,4487.98,502.31,10.95,"Korea","Asia","Advanced Economies",1,0,2011,1
"43","LAO",71,47,776.231567044067,4.13223140495895,0.000822091485247077,2007,3.427,2.311,-1.116,1301.09,79.21,9.382089615,1.64,377.46,26.24,0.3,"Lao P.D.R.","Asia","Emerging and Developing Economies",0,0,2017,1
"44","LTU",65,72,236.534308583573,4.32900432900459,0.00464373401823646,2007,13.819,19.025,5.206,11889.35,116.3,17.08245087,49.9,2927.73,51.55,4.82,"Lithuania","Europe","Advanced Economies",1,0,2011,1
"45","LUX",70,74,3.16785714285714,3.62318840579731,0.00712814204189743,2007,16.11,15.386,-0.724,112417.88,307.49,13.28186989,78.9,8779.51,186.44,23.63,"Luxembourg","Europe","Advanced Economies",1,0,2012,1
"46","LVA",62,69,521.720787709023,4.40528634361261,0.00305089558939318,2007,6.337,13.737,7.4,12810.04,100.88,16.32666016,59.2,2179.78,35.36,4.05,"Latvia","Europe","Advanced Economies",1,0,2011,1
"47","MAR",71,74,14.778348040848,4.20168067226919,0.0126874258380313,2007,17.042,28.296,11.254,2540.62,71.35,10.22760963,21.5,495.47,69.88,1.48,"Morocco","Africa","Emerging and Developing Economies",0,0,2015,1
"48","MEX",74,73,444.929223554223,4.42477876106223,0.334056192269607,2007,175.357,238.99,63.633,9877.7,55.26,12.99110985,20.8,1693.78,55.96,4.33,"Mexico","America","Emerging and Developing Economies",0,0,2012,1
"49","MLT",66,67,697.715729123817,3.98406374502019,0.00163670491158654,2007,3.048,3.611,0.563,19342.39,184.83,14.99221039,46.9,2131.22,1271.01,6.7,"Malta","Europe","Advanced Economies",1,0,2013,1
"50","MMR",72,61,167.924732620321,4.18410041841032,0.00134227290548946,2007,23.023,3.45,-19.573,651.73,97.2554794520548,8.686019897,0.22,323.44,73.64,0.23,"Myanmar","Asia","Emerging and Developing Economies",0,0,2013,1
"51","MYS",74,74,0,3.33333333333358,0.0508687582885718,2007,229.03,108.243,-120.787,7769.6,192.47,12.17440033,55.7,2584.77,82.17,7.59,"Malaysia","Asia","Emerging and Developing Economies",0,0,2013,1
"52","NGA",74,61,19.9881618381618,3.67647058823555,0.0279298348838288,2007,78.897,45.154,-33.743,2020.83,97.2554794520548,8.649903679,6.77,281.72,168.28,0.55,"Nigeria","Africa","Emerging and Developing Economies",0,0,2013,1
"53","NLD",74,74,0,3.74531835206019,0.0767445109752792,2007,155.634,177.717,22.083,45445.52,129.8,16.68618011,85.8,4812.36,485.24,10.92,"The Netherlands","Europe","Advanced Economies",1,0,2012,1
"54","NOR",74,74,0,3.22580645161298,0.0304082834298648,2007,62.227,76.372,14.145,76115.71,71.94,17.54254913,86.9,5864.3,12.89,9.54,"Norway","Europe","Advanced Economies",1,0,2009,1
"55","NZL",74,74,10.874395049395,3.87596899224834,0.0141012403725895,2007,34.311,29.481,-4.83,36414.32,58.43,19.25191307,69.8,4057.16,16.04,8.29,"New Zealand","Pacific","Advanced Economies",1,0,2013,1
"56","PAK",69,74,0,3.6363636363639,0.0167697468380199,2007,29.591,47.875,18.284,1265.36,30.79,6.005660057,6.8,457.17,239.33,0.88,"Pakistan","Asia","Emerging and Developing Economies",0,0,2014,1
"57","PER",66,70,141.303344286432,4.03225806451641,0.0155561956062518,2007,24.154,23.541,-0.613,4407.79,55.69,13.01933336,25.2,531.66,22.29,1.2,"Peru","America","Emerging and Developing Economies",0,0,2014,1
"58","PHL",71,74,92.3580194315489,4.14937759336128,0.0209014212226151,2007,45.003,43.835,-1.168,2209.35,73.64,11.47802019,5.97,425.63,305.45,0.84,"Philippines","Asia","Emerging and Developing Economies",0,0,2011,1
