iso_o,country_x,TIME_PERIOD,LTE,internet,gdp_pct,schooling,log_gdp_pct,D_log_gdp_pct,D_internet,country_y,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
ARG,Argentina,2016,1.0,71.0,13265.89,17.857731,9.4929514,-0.030712128,3.0,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
AUS,Australia,2016,1.0,86.5,57401.07,22.85635,10.957818,0.011600494,1.9000015,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUT,Austria,2016,1.0,84.300003,44362.672,15.89676,10.700153,0.010136604,0.40000153,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
BEL,Belgium,2016,1.0,86.5,41172.891,19.65691,10.625535,0.0068016052,1.4000015,Belgium,0,Europe,50.833332,4.3499999,Dutch,,Advanced Economies,1.0
BGD,Bangladesh,2016,1.0,18.1,1299.83,11.39901,7.1699886,0.059790611,5.2000008,Bangladesh,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0
BGR,Bulgaria,2016,1.0,59.799999,7586.5,15.56826,8.9341259,0.04279995,3.0999985,Bulgaria,0,Europe,42.666668,23.299999,Bulgarian,TUR,Emerging and Developing Economies,0.0
BLR,Belarus,2016,1.0,71.099998,5811.2002,15.18873,8.6675425,-0.026467323,8.8999977,Belarus,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0
BRA,Brazil,2016,1.0,60.900002,8577.8398,15.29432,9.0569372,-0.040928841,2.6000023,Brazil,0,America,-15.78,-47.91,Portuguese,PRT,Emerging and Developing Economies,0.0
BRN,Brunei Darussalam,2016,1.0,90.0,29492.41,14.21237,10.291888,-0.037688255,18.800003,Brunei Darussalam,0,Asia,4.9333334,114.96667,Malay,GBR,Emerging and Developing Economies,0.0
CAN,Canada,2016,1.0,91.199997,43551.34,15.9334,10.681696,-0.00098323822,1.1999969,Canada,0,America,45.419998,-75.709999,English,GBR,Advanced Economies,1.0
