iso_o,iso_d,colony
ARG,AUS,0
ARG,AUT,0
ARG,BEL,0
ARG,BGD,0
ARG,BGR,0
ARG,BLR,0
ARG,BRA,0
ARG,BRN,0
ARG,CAN,0
ARG,CHE,0
ARG,CHL,0
ARG,CHN,0
ARG,CIV,0
ARG,CMR,0
ARG,COL,0
ARG,CRI,0
ARG,CYP,0
ARG,CZE,0
ARG,DEU,0
ARG,DNK,0
ARG,EGY,0
ARG,ESP,1
ARG,EST,0
ARG,FIN,0
ARG,FRA,0
ARG,GBR,0
ARG,GRC,0
ARG,HKG,0
ARG,HRV,0
ARG,HUN,0
ARG,IDN,0
ARG,IND,0
ARG,IRL,0
ARG,ISL,0
ARG,ISR,0
ARG,ITA,0
ARG,JOR,0
ARG,JPN,0
ARG,KAZ,0
ARG,KHM,0
ARG,KOR,0
ARG,LAO,0
ARG,LTU,0
ARG,LUX,0
ARG,LVA,0
ARG,MAR,0
ARG,MEX,0
ARG,MLT,0
ARG,MMR,0
ARG,MYS,0
ARG,NGA,0
ARG,NLD,0
ARG,NOR,0
ARG,NZL,0
ARG,PAK,0
ARG,PER,0
ARG,PHL,0
ARG,POL,0
ARG,PRT,0
ARG,RUS,0
ARG,SAU,0
ARG,SEN,0
ARG,SGP,0
ARG,SVK,0
ARG,SVN,0
ARG,SWE,0
ARG,THA,0
ARG,TUN,0
ARG,TUR,0
ARG,UKR,0
ARG,USA,0
ARG,VNM,0
ARG,ZAF,0
AUS,ARG,0
AUS,AUT,0
AUS,BEL,0
AUS,BGD,0
AUS,BGR,0
AUS,BLR,0
AUS,BRA,0
AUS,BRN,0
AUS,CAN,0
AUS,CHE,0
AUS,CHL,0
AUS,CHN,0
AUS,CIV,0
AUS,CMR,0
AUS,COL,0
AUS,CRI,0
AUS,CYP,0
AUS,CZE,0
AUS,DEU,0
AUS,DNK,0
AUS,EGY,0
AUS,ESP,0
AUS,EST,0
AUS,FIN,0
AUS,FRA,0
AUS,GBR,1
AUS,GRC,0
AUS,HKG,0
AUS,HRV,0
AUS,HUN,0
AUS,IDN,0
AUS,IND,0
AUS,IRL,0
AUS,ISL,0
AUS,ISR,0
AUS,ITA,0
AUS,JOR,0
AUS,JPN,0
AUS,KAZ,0
AUS,KHM,0
AUS,KOR,0
AUS,LAO,0
AUS,LTU,0
AUS,LUX,0
AUS,LVA,0
AUS,MAR,0
AUS,MEX,0
AUS,MLT,0
AUS,MMR,0
AUS,MYS,0
AUS,NGA,0
AUS,NLD,0
AUS,NOR,0
AUS,NZL,0
AUS,PAK,0
AUS,PER,0
AUS,PHL,0
AUS,POL,0
AUS,PRT,0
AUS,RUS,0
AUS,SAU,0
AUS,SEN,0
AUS,SGP,0
AUS,SVK,0
AUS,SVN,0
AUS,SWE,0
AUS,THA,0
AUS,TUN,0
AUS,TUR,0
AUS,UKR,0
AUS,USA,0
AUS,VNM,0
AUS,ZAF,0
AUT,ARG,0
AUT,AUS,0
AUT,BEL,0
AUT,BGD,0
AUT,BGR,0
AUT,BLR,0
AUT,BRA,0
AUT,BRN,0
AUT,CAN,0
AUT,CHE,0
AUT,CHL,0
AUT,CHN,0
AUT,CIV,0
AUT,CMR,0
AUT,COL,0
AUT,CRI,0
AUT,CYP,0
AUT,CZE,1
AUT,DEU,0
AUT,DNK,0
AUT,EGY,0
AUT,ESP,0
AUT,EST,0
AUT,FIN,0
AUT,FRA,0
AUT,GBR,0
AUT,GRC,0
AUT,HKG,0
AUT,HRV,1
AUT,HUN,0
AUT,IDN,0
AUT,IND,0
AUT,IRL,0
AUT,ISL,0
AUT,ISR,0
AUT,ITA,0
AUT,JOR,0
AUT,JPN,0
AUT,KAZ,0
AUT,KHM,0
AUT,KOR,0
AUT,LAO,0
AUT,LTU,0
AUT,LUX,0
AUT,LVA,0
AUT,MAR,0
AUT,MEX,0
AUT,MLT,0
AUT,MMR,0
AUT,MYS,0
AUT,NGA,0
AUT,NLD,0
AUT,NOR,0
AUT,NZL,0
AUT,PAK,0
AUT,PER,0
AUT,PHL,0
AUT,POL,0
AUT,PRT,0
AUT,RUS,0
AUT,SAU,0
AUT,SEN,0
AUT,SGP,0
AUT,SVK,0
AUT,SVN,1
AUT,SWE,0
AUT,THA,0
AUT,TUN,0
AUT,TUR,0
AUT,UKR,0
AUT,USA,0
AUT,VNM,0
AUT,ZAF,0
BEL,ARG,0
BEL,AUS,0
BEL,AUT,0
BEL,BGD,0
BEL,BGR,0
BEL,BLR,0
BEL,BRA,0
BEL,BRN,0
BEL,CAN,0
BEL,CHE,0
BEL,CHL,0
BEL,CHN,0
BEL,CIV,0
BEL,CMR,0
BEL,COL,0
BEL,CRI,0
BEL,CYP,0
BEL,CZE,0
BEL,DEU,0
BEL,DNK,0
BEL,EGY,0
BEL,ESP,0
BEL,EST,0
BEL,FIN,0
BEL,FRA,0
BEL,GBR,0
BEL,GRC,0
BEL,HKG,0
BEL,HRV,0
BEL,HUN,0
BEL,IDN,0
BEL,IND,0
BEL,IRL,0
BEL,ISL,0
BEL,ISR,0
BEL,ITA,0
BEL,JOR,0
BEL,JPN,0
BEL,KAZ,0
BEL,KHM,0
BEL,KOR,0
BEL,LAO,0
BEL,LTU,0
BEL,LUX,0
BEL,LVA,0
BEL,MAR,0
BEL,MEX,0
BEL,MLT,0
BEL,MMR,0
BEL,MYS,0
BEL,NGA,0
BEL,NLD,0
BEL,NOR,0
BEL,NZL,0
BEL,PAK,0
BEL,PER,0
BEL,PHL,0
BEL,POL,0
BEL,PRT,0
BEL,RUS,0
BEL,SAU,0
BEL,SEN,0
BEL,SGP,0
BEL,SVK,0
BEL,SVN,0
BEL,SWE,0
BEL,THA,0
BEL,TUN,0
BEL,TUR,0
BEL,UKR,0
BEL,USA,0
BEL,VNM,0
BEL,ZAF,0
BGD,ARG,0
BGD,AUS,0
BGD,AUT,0
BGD,BEL,0
BGD,BGR,0
BGD,BLR,0
BGD,BRA,0
BGD,BRN,0
BGD,CAN,0
BGD,CHE,0
BGD,CHL,0
BGD,CHN,0
BGD,CIV,0
BGD,CMR,0
BGD,COL,0
BGD,CRI,0
BGD,CYP,0
BGD,CZE,0
BGD,DEU,0
BGD,DNK,0
BGD,EGY,0
BGD,ESP,0
BGD,EST,0
BGD,FIN,0
BGD,FRA,0
BGD,GBR,1
BGD,GRC,0
BGD,HKG,0
BGD,HRV,0
BGD,HUN,0
BGD,IDN,0
BGD,IND,0
BGD,IRL,0
BGD,ISL,0
BGD,ISR,0
BGD,ITA,0
BGD,JOR,0
BGD,JPN,0
BGD,KAZ,0
BGD,KHM,0
BGD,KOR,0
BGD,LAO,0
BGD,LTU,0
BGD,LUX,0
BGD,LVA,0
BGD,MAR,0
BGD,MEX,0
BGD,MLT,0
BGD,MMR,0
BGD,MYS,0
BGD,NGA,0
BGD,NLD,0
BGD,NOR,0
BGD,NZL,0
BGD,PAK,0
BGD,PER,0
BGD,PHL,0
BGD,POL,0
BGD,PRT,0
BGD,RUS,0
BGD,SAU,0
BGD,SEN,0
BGD,SGP,0
BGD,SVK,0
BGD,SVN,0
BGD,SWE,0
BGD,THA,0
BGD,TUN,0
BGD,TUR,0
BGD,UKR,0
BGD,USA,0
BGD,VNM,0
BGD,ZAF,0
BGR,ARG,0
BGR,AUS,0
BGR,AUT,0
BGR,BEL,0
BGR,BGD,0
BGR,BLR,0
BGR,BRA,0
BGR,BRN,0
BGR,CAN,0
BGR,CHE,0
BGR,CHL,0
BGR,CHN,0
BGR,CIV,0
BGR,CMR,0
