iso_o,iso_d,log_dist
ARG,AUS,9.375970058049784
ARG,AUT,9.37871174248341
ARG,BEL,9.334923346665123
ARG,BGD,9.728443450712403
ARG,BGR,9.388891496281326
ARG,BLR,9.458710247090131
ARG,BRA,7.4331149696393926
ARG,BRN,9.720571419016458
ARG,CAN,9.101652549188527
ARG,CHE,9.324963754515188
ARG,CHL,7.028482420945723
ARG,CHN,9.867729278217281
ARG,CIV,8.886191529453063
ARG,CMR,9.042698814784817
ARG,COL,8.456649453828586
ARG,CRI,8.640017188936756
ARG,CYP,9.416668940536306
ARG,CZE,9.378971136103699
ARG,DEU,9.351157409716329
ARG,DNK,9.400090104765383
ARG,EGY,9.3790809567751
ARG,ESP,9.216903785576159
ARG,EST,9.466976724772428
ARG,FIN,9.470494503590675
ARG,FRA,9.312197257082307
ARG,GBR,9.318968742375779
ARG,GRC,9.368318859249136
ARG,HKG,9.82438427845664
ARG,HRV,9.36358406919046
ARG,HUN,9.389078850538663
ARG,IDN,9.631401888008815
ARG,IND,9.668898753537176
ARG,IRL,9.306828948107842
ARG,ISL,9.346257541370678
ARG,ISR,9.412596900249616
ARG,ITA,9.321305552118325
ARG,JOR,9.419857909383477
ARG,JPN,9.818585222669528
ARG,KAZ,9.687236443674484
ARG,KHM,9.73890767721833
ARG,KOR,9.875466092977524
ARG,LAO,9.764194450238282
ARG,LTU,9.45181723637882
ARG,LUX,9.335484691223613
ARG,LVA,9.455161654225511
ARG,MAR,9.143016428482406
ARG,MEX,8.90891779636749
ARG,MLT,9.297152729162685
ARG,MMR,9.730551612719026
ARG,MYS,9.678508567844142
ARG,NGA,8.979462361700326
ARG,NLD,9.347206822108832
ARG,NOR,9.414972845584852
ARG,NZL,9.182877906883675
ARG,PAK,9.656448898660868
ARG,PER,8.05004149155112
ARG,PHL,9.787046990358846
ARG,POL,9.421539269095783
ARG,PRT,9.171792248583689
ARG,RUS,9.51084192266521
ARG,SAU,9.463444974715973
ARG,SEN,8.852850095744392
ARG,SGP,9.673515112345875
ARG,SVK,9.382603175372791
ARG,SVN,9.357099515869084
ARG,SWE,9.440263291356802
ARG,THA,9.734487666938664
ARG,TUN,9.275076998489588
ARG,TUR,9.414804137371826
ARG,UKR,9.460786979364999
ARG,USA,9.052831693711093
ARG,VNM,9.791278640049462
ARG,ZAF,8.837320575741023
AUS,ARG,9.375970058049784
