iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist
ARG,AUS,0,0,0,0,11801.36,9.375970058049784
ARG,AUT,0,0,0,0,11833.76,9.37871174248341
ARG,BEL,0,0,0,0,11326.76,9.334923346665123
ARG,BGD,0,0,0,0,16788.4,9.728443450712403
ARG,BGR,0,0,0,0,11954.84,9.388891496281326
ARG,BLR,0,0,0,0,12819.34,9.458710247090131
ARG,BRA,1,0,0,0,1691.067,7.4331149696393926
ARG,BRN,0,0,0,0,16656.76,9.720571419016458
ARG,CAN,0,0,0,0,8970.104,9.101652549188527
ARG,CHE,0,0,0,0,11214.51,9.324963754515188
ARG,CHL,1,1,0,0,1128.317,7.028482420945723
ARG,CHN,0,0,0,0,19297.47,9.867729278217281
ARG,CIV,0,0,0,0,7231.426,8.886191529453063
ARG,CMR,0,0,0,0,8456.569,9.042698814784817
ARG,COL,0,1,0,0,4706.263,8.456649453828586
ARG,CRI,0,1,0,0,5653.427,8.640017188936756
ARG,CYP,0,0,0,0,12291.57,9.416668940536306
ARG,CZE,0,0,0,0,11836.83,9.378971136103699
ARG,DEU,0,0,0,0,11512.14,9.351157409716329
ARG,DNK,0,0,0,0,12089.47,9.400090104765383
ARG,EGY,0,0,0,0,11838.13,9.3790809567751
ARG,ESP,0,1,1,0,10065.85,9.216903785576159
ARG,EST,0,0,0,0,12925.75,9.466976724772428
ARG,FIN,0,0,0,0,12971.3,9.470494503590675
ARG,FRA,0,0,0,0,11072.25,9.312197257082307
ARG,GBR,0,0,0,0,11147.48,9.318968742375779
ARG,GRC,0,0,0,0,11711.41,9.368318859249136
ARG,HKG,0,0,0,0,18478.89,9.82438427845664
ARG,HRV,0,0,0,0,11656.09,9.36358406919046
ARG,HUN,0,0,0,0,11957.08,9.389078850538663
ARG,IDN,0,0,0,0,15235.78,9.631401888008815
ARG,IND,0,0,0,0,15817.92,9.668898753537176
ARG,IRL,0,0,0,0,11012.97,9.306828948107842
ARG,ISL,0,0,0,0,11455.87,9.346257541370678
ARG,ISR,0,0,0,0,12241.62,9.412596900249616
ARG,ITA,0,0,0,0,11173.56,9.321305552118325
ARG,JOR,0,0,0,0,12330.83,9.419857909383477
ARG,JPN,0,0,0,0,18372.04,9.818585222669528
ARG,KAZ,0,0,0,0,16110.66,9.687236443674484
ARG,KHM,0,0,0,0,16965.0,9.73890767721833
ARG,KOR,0,0,0,0,19447.35,9.875466092977524
ARG,LAO,0,0,0,0,17399.46,9.764194450238282
ARG,LTU,0,0,0,0,12731.28,9.45181723637882
ARG,LUX,0,0,0,0,11333.12,9.335484691223613
ARG,LVA,0,0,0,0,12773.93,9.455161654225511
ARG,MAR,0,0,0,0,9348.923,9.143016428482406
ARG,MEX,0,1,0,0,7397.651,8.90891779636749
ARG,MLT,0,0,0,0,10906.92,9.297152729162685
ARG,MMR,0,0,0,0,16823.83,9.730551612719026
ARG,MYS,0,0,0,0,15970.66,9.678508567844142
ARG,NGA,0,0,0,0,7938.363,8.979462361700326
ARG,NLD,0,0,0,0,11466.75,9.347206822108832
ARG,NOR,0,0,0,0,12270.74,9.414972845584852
ARG,NZL,0,0,0,0,9729.112,9.182877906883675
ARG,PAK,0,0,0,0,15622.21,9.656448898660868
ARG,PER,0,1,0,0,3133.925,8.05004149155112
ARG,PHL,0,0,0,0,17801.66,9.787046990358846
ARG,POL,0,0,0,0,12351.58,9.421539269095783
ARG,PRT,0,0,0,0,9621.854,9.171792248583689
ARG,RUS,0,0,0,0,13505.36,9.51084192266521
ARG,SAU,0,0,0,0,12880.18,9.463444974715973
ARG,SEN,0,0,0,0,6994.295,8.852850095744392
ARG,SGP,0,0,0,0,15891.11,9.673515112345875
ARG,SVK,0,0,0,0,11879.9,9.382603175372791
ARG,SVN,0,0,0,0,11580.75,9.357099515869084
ARG,SWE,0,0,0,0,12585.03,9.440263291356802
ARG,THA,0,0,0,0,16890.18,9.734487666938664
ARG,TUN,0,0,0,0,10668.78,9.275076998489588
ARG,TUR,0,0,0,0,12268.67,9.414804137371826
ARG,UKR,0,0,0,0,12845.99,9.460786979364999
ARG,USA,0,0,0,0,8542.694,9.052831693711093
ARG,VNM,0,0,0,0,17877.15,9.791278640049462
ARG,ZAF,0,0,0,0,6886.516,8.837320575741023
AUS,ARG,0,0,0,0,11801.36,9.375970058049784
AUS,AUT,0,0,0,0,15988.95,9.679653137630615
AUS,BEL,0,0,0,0,16759.6,9.72672650740282
AUS,BGD,0,0,0,0,9077.625,9.11356787350489
AUS,BGR,0,0,0,0,15449.53,9.645333861151197
AUS,BLR,0,0,0,0,15157.96,9.62628108549793
AUS,BRA,0,0,0,0,13371.76,9.50090029942798
AUS,BRN,0,0,0,0,5756.495,8.658084061530001
AUS,CAN,0,1,0,0,15586.66,9.654170699201806
AUS,CHE,0,0,0,0,16673.2,9.721557918930246
AUS,CHL,0,0,0,0,11353.72,9.337300722514133
AUS,CHN,0,0,0,0,8956.436,9.100127658981215
AUS,CIV,0,0,0,0,15950.81,9.677264890622602
AUS,CMR,0,1,0,0,14687.67,9.594763645287616
AUS,COL,0,0,0,0,14260.45,9.565245250272625
AUS,CRI,0,0,0,0,13829.48,9.534557824530381
AUS,CYP,0,0,0,0,14426.82,9.576844253261577
AUS,CZE,0,0,0,0,16097.52,9.686420501840516
AUS,DEU,0,0,0,0,16562.72,9.714909665659228
AUS,DNK,0,0,0,0,16054.1,9.683719547649325
