iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
ARG,AUS,0,0,0,0,11801.36,9.375970058049784,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,AUT,0,0,0,0,11833.76,9.37871174248341,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,BEL,0,0,0,0,11326.76,9.334923346665123,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,BGD,0,0,0,0,16788.4,9.728443450712403,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,BGR,0,0,0,0,11954.84,9.388891496281326,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,BLR,0,0,0,0,12819.34,9.458710247090131,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,BRA,1,0,0,0,1691.067,7.4331149696393926,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,BRN,0,0,0,0,16656.76,9.720571419016458,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CAN,0,0,0,0,8970.104,9.101652549188527,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CHE,0,0,0,0,11214.51,9.324963754515188,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CHL,1,1,0,0,1128.317,7.028482420945723,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CHN,0,0,0,0,19297.47,9.867729278217281,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CIV,0,0,0,0,7231.426,8.886191529453063,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CMR,0,0,0,0,8456.569,9.042698814784817,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,COL,0,1,0,0,4706.263,8.456649453828586,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CRI,0,1,0,0,5653.427,8.640017188936756,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CYP,0,0,0,0,12291.57,9.416668940536306,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,CZE,0,0,0,0,11836.83,9.378971136103699,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,DEU,0,0,0,0,11512.14,9.351157409716329,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,DNK,0,0,0,0,12089.47,9.400090104765383,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,EGY,0,0,0,0,11838.13,9.3790809567751,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,ESP,0,1,1,0,10065.85,9.216903785576159,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,EST,0,0,0,0,12925.75,9.466976724772428,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,FIN,0,0,0,0,12971.3,9.470494503590675,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,FRA,0,0,0,0,11072.25,9.312197257082307,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,GBR,0,0,0,0,11147.48,9.318968742375779,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,GRC,0,0,0,0,11711.41,9.368318859249136,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,HKG,0,0,0,0,18478.89,9.82438427845664,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,HRV,0,0,0,0,11656.09,9.36358406919046,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,HUN,0,0,0,0,11957.08,9.389078850538663,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,IDN,0,0,0,0,15235.78,9.631401888008815,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,IND,0,0,0,0,15817.92,9.668898753537176,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
