iso_o,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,10838.32,10631.65,10051.94,8861.56,9545.53,10302.45,11099.75,11870.28,12811.9,13197.36,12285.38,13387.16,14040.62,13754.43,13946.1,13456.13,13679.63,13265.89,13520.11,13058.33,12706.4,11393.05
AUS,44636.94,45859.52,46191.31,47486.28,48394.13,49902.02,50853.2,51553.97,52531.76,53336.1,53237.01,53578.81,54111.36,55257.57,55728.02,56327.85,56739.03,57401.07,57750.65,58530.78,58924.73,58132.8
AUT,37468.87,38571.09,38929.75,39313.72,39569.29,40333.33,40989.01,42120.16,43568.83,44063.86,42372.48,43035.41,44146.2,44221.46,43851.37,43838.83,43915.23,44362.67,45056.64,45951.58,46550.56,43428.7
BGD,600.23,620.56,641.29,655.67,676.83,702.66,739.2,779.42,825.51,866.46,901.73,943.66,995.58,1050.39,1103.16,1159.41,1224.39,1299.83,1373.75,1462.25,1564.21,1604.67
BLR,2460.37,2615.36,2753.03,2910.4,3137.26,3520.4,3877.72,4291.69,4682.21,5177.65,5200.77,5616.09,5941.69,6052.64,6115.43,6212.92,5967.06,5811.2,5964.9,6165.91,6267.74,6251.99
BEL,34676.61,35878.32,36148.29,36600.86,36826.27,37976.7,38645.26,39371.09,40520.08,40380.91,39293.64,39991.56,40236.96,40074.49,40007.9,40533.91,40893.8,41172.89,41619.33,42208.36,43006.4,40769.02
BRA,6621.64,6817.78,6823.03,6944.62,6941.44,7258.78,7409.57,7622.04,8003.25,8330.76,8246.1,8792.63,9067.99,9167.5,9366.74,9338.34,8936.2,8577.84,8628.25,8722.34,8771.44,8435.01
BRN,37045.93,37509.6,37269.31,37976.26,38595.17,37948.66,37312.28,38229.36,36174.52,34126.69,32855.6,33121.32,33754.36,33544.54,32381.07,31148.73,30625.13,29492.41,29524.66,29200.2,29996.24,30015.96
BGR,3537.35,3717.93,3937.7,4260.4,4519.18,4849.87,5231.34,5629.8,6048.74,6464.72,6288.73,6428.72,6605.31,6693.43,6792.74,6941.02,7268.65,7586.5,7898.71,8211.94,8644.25,8450.6
KHM,552.9,598.56,632.83,662.19,719.33,775.85,866.34,947.07,1030.23,1090.57,1117.26,1155.85,1221.39,1295.25,1376.3,1464.53,1547.32,1645.47,1753.94,1884.28,2008.32,1908.63
CMR,1138.36,1151.28,1169.93,1189.97,1221.09,1271.74,1264.74,1277.33,1295.73,1295.02,1290.9,1290.9,1297.31,1319.67,1347.21,1381.82,1415.0,1435.62,1444.91,1461.02,1470.32,1434.52
CAN,36391.54,37906.86,38200.46,38921.67,39270.02,40108.76,41006.22,41663.51,42106.87,42067.57,40376.42,41164.34,42043.64,42320.64,42851.17,43643.24,43594.19,43551.34,44339.39,44907.34,45100.29,42366.13
CHL,8161.45,8465.35,8632.01,8810.69,9130.78,9642.37,10104.42,10611.61,11051.35,11356.09,11116.41,11649.29,12252.84,12882.83,13182.73,13285.95,13433.92,13505.1,13473.35,13763.01,13630.59,12679.02
CHN,2076.82,2237.44,2405.89,2610.73,2857.04,3127.86,3465.82,3883.35,4409.76,4811.47,5237.77,5764.87,6275.91,6723.19,7198.07,7686.58,8175.33,8679.38,9221.51,9798.65,10356.48,10573.64
