iso_o,TIME_PERIOD,gdp_pct
ARG,1999,10838.32
ARG,2000,10631.65
ARG,2001,10051.94
ARG,2002,8861.56
ARG,2003,9545.53
ARG,2004,10302.45
ARG,2005,11099.75
ARG,2006,11870.28
ARG,2007,12811.9
ARG,2008,13197.36
ARG,2009,12285.38
ARG,2010,13387.16
ARG,2011,14040.62
ARG,2012,13754.43
ARG,2013,13946.1
ARG,2014,13456.13
ARG,2015,13679.63
ARG,2016,13265.89
ARG,2017,13520.11
ARG,2018,13058.33
ARG,2019,12706.4
ARG,2020,11393.05
AUS,1999,44636.94
AUS,2000,45859.52
AUS,2001,46191.31
AUS,2002,47486.28
AUS,2003,48394.13
AUS,2004,49902.02
AUS,2005,50853.2
AUS,2006,51553.97
AUS,2007,52531.76
AUS,2008,53336.1
AUS,2009,53237.01
AUS,2010,53578.81
AUS,2011,54111.36
AUS,2012,55257.57
AUS,2013,55728.02
AUS,2014,56327.85
AUS,2015,56739.03
AUS,2016,57401.07
AUS,2017,57750.65
AUS,2018,58530.78
AUS,2019,58924.73
AUS,2020,58132.8
AUT,1999,37468.87
AUT,2000,38571.09
AUT,2001,38929.75
AUT,2002,39313.72
AUT,2003,39569.29
AUT,2004,40333.33
AUT,2005,40989.01
AUT,2006,42120.16
AUT,2007,43568.83
AUT,2008,44063.86
AUT,2009,42372.48
AUT,2010,43035.41
AUT,2011,44146.2
AUT,2012,44221.46
AUT,2013,43851.37
AUT,2014,43838.83
AUT,2015,43915.23
AUT,2016,44362.67
AUT,2017,45056.64
AUT,2018,45951.58
AUT,2019,46550.56
AUT,2020,43428.7
BGD,1999,600.23
BGD,2000,620.56
BGD,2001,641.29
BGD,2002,655.67
BGD,2003,676.83
BGD,2004,702.66
BGD,2005,739.2
BGD,2006,779.42
BGD,2007,825.51
BGD,2008,866.46
BGD,2009,901.73
BGD,2010,943.66
BGD,2011,995.58
BGD,2012,1050.39
BGD,2013,1103.16
BGD,2014,1159.41
BGD,2015,1224.39
BGD,2016,1299.83
BGD,2017,1373.75
BGD,2018,1462.25
BGD,2019,1564.21
BGD,2020,1604.67
BLR,1999,2460.37
BLR,2000,2615.36
