iso_o,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,7.04,9.78,10.9,11.9,16.0,17.7,20.9,25.9,28.1,34.0,45.0,51.0,55.8,59.9,64.7,68.0,71.0,74.3,77.7,79.9,85.5
AUS,46.8,52.7,23.69405405405405,27.593698630136984,31.496301369863016,63.0,66.0,69.5,71.7,74.3,76.0,79.5,79.0,83.5,84.0,84.6,86.5,86.5,90.0,93.6,94.7
AUT,33.7,39.2,36.6,42.7,54.3,58.0,63.6,69.4,72.9,73.5,75.2,78.7,80.0,80.6,81.0,83.9,84.3,87.9,87.5,87.8,87.5
BGD,0.07,0.13,0.14,0.16,0.2,0.24,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,11.9,12.9,18.1,21.5,25.6,30.4,36.1
BLR,1.86,4.3,8.95,27.593698630136984,31.496301369863016,34.64810810810811,16.2,19.7,23.0,27.4,31.8,39.6,46.9,54.2,59.0,62.2,71.1,74.4,79.1,82.8,85.1
BEL,29.4,31.3,46.3,50.0,53.9,55.8,62.0,66.8,68.9,74.5,77.6,81.6,80.7,82.2,85.0,85.1,86.5,87.7,88.6,90.3,91.5
BRA,2.87,4.53,9.15,13.2,19.1,21.0,28.2,30.9,33.8,39.2,40.7,45.7,48.6,51.0,54.6,58.3,60.9,67.5,70.4,73.9,81.3
BRN,9.0,12.9,15.3,19.6,29.7,36.5,42.2,44.7,46.0,49.0,53.0,56.0,60.3,64.5,68.8,71.2,90.0,94.9,95.0,95.0,96.3
BGR,5.37,7.61,9.08,12.0,18.1,20.0,27.1,33.6,39.7,45.0,46.2,48.0,51.9,53.1,55.5,56.7,59.8,63.4,64.8,67.9,70.2
KHM,0.05,0.08,0.23,0.26,0.3,0.32,0.47,0.49,0.51,0.53,1.26,3.1,4.94,6.0,14.0,6.43,32.4,32.9,72.56486486486486,52.3,53.7
CMR,0.25,0.28,0.36,0.59,0.98,1.4,2.03,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.2,18.3,20.6,23.2,29.7,36.5,41.2
CAN,51.3,60.2,61.6,64.2,66.0,71.7,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.1,90.0,91.2,92.7,94.6,91.9,92.3
CHL,16.6,19.1,22.1,25.5,28.2,31.2,34.5,35.9,37.3,41.6,45.0,52.2,55.1,58.0,61.1,76.6,83.6,82.3,84.9,85.0,87.5
CHN,1.78,2.64,4.6,6.2,7.3,8.52,10.5,16.0,22.6,28.9,34.3,38.3,42.3,45.8,47.9,50.3,53.2,54.3,59.2,64.1,70.1
