iso_o,TIME_PERIOD,internet
ARG,1999,3.28
ARG,2000,7.04
ARG,2001,9.78
ARG,2002,10.9
ARG,2003,11.9
ARG,2004,16.0
ARG,2005,17.7
ARG,2006,20.9
ARG,2007,25.9
ARG,2008,28.1
ARG,2009,34.0
ARG,2010,45.0
ARG,2011,51.0
ARG,2012,55.8
ARG,2013,59.9
ARG,2014,64.7
ARG,2015,68.0
ARG,2016,71.0
ARG,2017,74.3
ARG,2018,77.7
ARG,2019,79.9
ARG,2020,85.5
AUS,1999,40.8
AUS,2000,46.8
AUS,2001,52.7
AUS,2002,23.69405405405405
AUS,2003,27.593698630136984
AUS,2004,31.496301369863016
AUS,2005,63.0
AUS,2006,66.0
AUS,2007,69.5
AUS,2008,71.7
AUS,2009,74.3
AUS,2010,76.0
AUS,2011,79.5
AUS,2012,79.0
AUS,2013,83.5
AUS,2014,84.0
AUS,2015,84.6
AUS,2016,86.5
AUS,2017,86.5
AUS,2018,90.0
AUS,2019,93.6
AUS,2020,94.7
AUT,1999,23.0
AUT,2000,33.7
AUT,2001,39.2
AUT,2002,36.6
AUT,2003,42.7
AUT,2004,54.3
AUT,2005,58.0
AUT,2006,63.6
AUT,2007,69.4
AUT,2008,72.9
AUT,2009,73.5
AUT,2010,75.2
AUT,2011,78.7
AUT,2012,80.0
AUT,2013,80.6
AUT,2014,81.0
AUT,2015,83.9
AUT,2016,84.3
AUT,2017,87.9
AUT,2018,87.5
AUT,2019,87.8
AUT,2020,87.5
BGD,1999,0.04
BGD,2000,0.07
BGD,2001,0.13
BGD,2002,0.14
BGD,2003,0.16
BGD,2004,0.2
BGD,2005,0.24
BGD,2006,1.0
BGD,2007,1.8
BGD,2008,2.5
BGD,2009,3.1
BGD,2010,3.7
BGD,2011,4.5
BGD,2012,5.0
BGD,2013,6.63
BGD,2014,11.9
BGD,2015,12.9
BGD,2016,18.1
BGD,2017,21.5
BGD,2018,25.6
BGD,2019,30.4
BGD,2020,36.1
BLR,1999,0.5
BLR,2000,1.86
BLR,2001,4.3
BLR,2002,8.95
BLR,2003,27.593698630136984
BLR,2004,31.496301369863016
BLR,2005,34.64810810810811
BLR,2006,16.2
BLR,2007,19.7
BLR,2008,23.0
BLR,2009,27.4
BLR,2010,31.8
BLR,2011,39.6
BLR,2012,46.9
BLR,2013,54.2
BLR,2014,59.0
BLR,2015,62.2
BLR,2016,71.1
BLR,2017,74.4
BLR,2018,79.1
BLR,2019,82.8
BLR,2020,85.1
BEL,1999,13.8
BEL,2000,29.4
BEL,2001,31.3
BEL,2002,46.3
BEL,2003,50.0
BEL,2004,53.9
BEL,2005,55.8
BEL,2006,62.0
BEL,2007,66.8
BEL,2008,68.9
BEL,2009,74.5
BEL,2010,77.6
BEL,2011,81.6
BEL,2012,80.7
BEL,2013,82.2
BEL,2014,85.0
BEL,2015,85.1
BEL,2016,86.5
BEL,2017,87.7
BEL,2018,88.6
BEL,2019,90.3
BEL,2020,91.5
BRA,1999,2.04
BRA,2000,2.87
BRA,2001,4.53
BRA,2002,9.15
BRA,2003,13.2
BRA,2004,19.1
BRA,2005,21.0
BRA,2006,28.2
BRA,2007,30.9
BRA,2008,33.8
BRA,2009,39.2
BRA,2010,40.7
BRA,2011,45.7
BRA,2012,48.6
BRA,2013,51.0
BRA,2014,54.6
BRA,2015,58.3
BRA,2016,60.9
BRA,2017,67.5
BRA,2018,70.4
BRA,2019,73.9
BRA,2020,81.3
BRN,1999,7.67
BRN,2000,9.0
BRN,2001,12.9
BRN,2002,15.3
BRN,2003,19.6
BRN,2004,29.7
BRN,2005,36.5
BRN,2006,42.2
BRN,2007,44.7
BRN,2008,46.0
BRN,2009,49.0
BRN,2010,53.0
BRN,2011,56.0
BRN,2012,60.3
BRN,2013,64.5
BRN,2014,68.8
BRN,2015,71.2
BRN,2016,90.0
BRN,2017,94.9
BRN,2018,95.0
BRN,2019,95.0
BRN,2020,96.3
BGR,1999,2.91
BGR,2000,5.37
BGR,2001,7.61
BGR,2002,9.08
BGR,2003,12.0
BGR,2004,18.1
BGR,2005,20.0
BGR,2006,27.1
BGR,2007,33.6
BGR,2008,39.7
BGR,2009,45.0
BGR,2010,46.2
BGR,2011,48.0
BGR,2012,51.9
BGR,2013,53.1
BGR,2014,55.5
BGR,2015,56.7
BGR,2016,59.8
BGR,2017,63.4
BGR,2018,64.8
BGR,2019,67.9
BGR,2020,70.2
KHM,1999,0.03
KHM,2000,0.05
KHM,2001,0.08
KHM,2002,0.23
KHM,2003,0.26
KHM,2004,0.3
KHM,2005,0.32
KHM,2006,0.47
KHM,2007,0.49
KHM,2008,0.51
KHM,2009,0.53
KHM,2010,1.26
KHM,2011,3.1
KHM,2012,4.94
KHM,2013,6.0
KHM,2014,14.0
KHM,2015,6.43
KHM,2016,32.4
KHM,2017,32.9
KHM,2018,72.56486486486486
KHM,2019,52.3
KHM,2020,53.7
CMR,1999,0.13
CMR,2000,0.25
CMR,2001,0.28
CMR,2002,0.36
CMR,2003,0.59
CMR,2004,0.98
CMR,2005,1.4
CMR,2006,2.03
CMR,2007,2.93
CMR,2008,3.4
CMR,2009,3.84
CMR,2010,4.3
CMR,2011,5.0
CMR,2012,7.5
CMR,2013,10.0
CMR,2014,16.2
CMR,2015,18.3
CMR,2016,20.6
CMR,2017,23.2
CMR,2018,29.7
CMR,2019,36.5
CMR,2020,41.2
CAN,1999,36.2
CAN,2000,51.3
CAN,2001,60.2
CAN,2002,61.6
CAN,2003,64.2
CAN,2004,66.0
CAN,2005,71.7
CAN,2006,72.4
CAN,2007,73.2
CAN,2008,76.7
CAN,2009,80.3
CAN,2010,80.3
CAN,2011,83.0
CAN,2012,83.0
CAN,2013,85.8
CAN,2014,87.1
CAN,2015,90.0
CAN,2016,91.2
CAN,2017,92.7
CAN,2018,94.6
CAN,2019,91.9
CAN,2020,92.3
CHL,1999,4.1
CHL,2000,16.6
CHL,2001,19.1
CHL,2002,22.1
CHL,2003,25.5
CHL,2004,28.2
CHL,2005,31.2
CHL,2006,34.5
CHL,2007,35.9
CHL,2008,37.3
CHL,2009,41.6
CHL,2010,45.0
CHL,2011,52.2
CHL,2012,55.1
CHL,2013,58.0
CHL,2014,61.1
CHL,2015,76.6
CHL,2016,83.6
CHL,2017,82.3
CHL,2018,84.9
CHL,2019,85.0
CHL,2020,87.5
CHN,1999,0.71
CHN,2000,1.78
CHN,2001,2.64
CHN,2002,4.6
CHN,2003,6.2
CHN,2004,7.3
CHN,2005,8.52
CHN,2006,10.5
CHN,2007,16.0
CHN,2008,22.6
CHN,2009,28.9
CHN,2010,34.3
CHN,2011,38.3
CHN,2012,42.3
CHN,2013,45.8
CHN,2014,47.9
CHN,2015,50.3
CHN,2016,53.2
CHN,2017,54.3
CHN,2018,59.2
CHN,2019,64.1
CHN,2020,70.1
COL,1999,1.7
COL,2000,2.21
COL,2001,2.85
COL,2002,4.6
COL,2003,7.39
COL,2004,9.12
COL,2005,11.0
COL,2006,15.3
COL,2007,21.8
COL,2008,25.6
COL,2009,30.0
COL,2010,36.5
COL,2011,40.4
COL,2012,49.0
COL,2013,51.7
COL,2014,52.6
COL,2015,55.9
COL,2016,58.1
COL,2017,62.3
COL,2018,64.1
COL,2019,65.0
COL,2020,69.8
CRI,1999,3.9
CRI,2000,5.8
CRI,2001,9.56
CRI,2002,19.9
CRI,2003,20.3
CRI,2004,20.8
CRI,2005,22.1
CRI,2006,25.1
CRI,2007,28.4
CRI,2008,32.3
CRI,2009,34.3
CRI,2010,36.5
CRI,2011,39.2
CRI,2012,47.5
CRI,2013,46.0
CRI,2014,53.0
CRI,2015,59.8
CRI,2016,65.9
CRI,2017,71.6
CRI,2018,73.5
CRI,2019,81.2
CRI,2020,80.5
CIV,1999,0.12
CIV,2000,0.23
CIV,2001,0.4
CIV,2002,0.5
CIV,2003,0.76
CIV,2004,0.85
CIV,2005,1.04
CIV,2006,1.52
CIV,2007,1.8
CIV,2008,1.9
CIV,2009,2.0
CIV,2010,2.7
CIV,2011,2.9
CIV,2012,4.4
CIV,2013,6.6
CIV,2014,10.0
CIV,2015,38.4
CIV,2016,41.2
CIV,2017,43.8
CIV,2018,37.5
CIV,2019,36.3
CIV,2020,36.0
HRV,1999,4.41
HRV,2000,6.64
HRV,2001,11.6
HRV,2002,17.8
HRV,2003,22.8
HRV,2004,30.9
HRV,2005,33.1
HRV,2006,38.0
HRV,2007,41.4
HRV,2008,44.2
HRV,2009,50.6
HRV,2010,56.6
HRV,2011,57.8
HRV,2012,61.9
HRV,2013,66.7
HRV,2014,68.6
HRV,2015,69.8
HRV,2016,72.7
HRV,2017,67.1
HRV,2018,75.3
HRV,2019,79.1
HRV,2020,78.3
CYP,1999,11.3
CYP,2000,15.3
CYP,2001,18.8
CYP,2002,28.3
CYP,2003,30.1
CYP,2004,33.8
CYP,2005,32.8
CYP,2006,35.8
CYP,2007,40.8
CYP,2008,42.3
CYP,2009,49.8
CYP,2010,53.0
CYP,2011,56.9
CYP,2012,60.7
CYP,2013,65.5
CYP,2014,69.3
CYP,2015,71.7
CYP,2016,75.9
CYP,2017,80.7
CYP,2018,84.4
CYP,2019,86.1
CYP,2020,90.8
CZE,1999,6.83
CZE,2000,9.78
CZE,2001,14.7
CZE,2002,23.9
CZE,2003,34.3
CZE,2004,35.5
CZE,2005,35.3
CZE,2006,47.9
CZE,2007,51.9
CZE,2008,63.0
CZE,2009,64.4
CZE,2010,68.8
CZE,2011,70.5
CZE,2012,73.4
CZE,2013,74.1
CZE,2014,74.2
CZE,2015,75.7
CZE,2016,76.5
CZE,2017,78.7
CZE,2018,80.7
CZE,2019,80.9
CZE,2020,81.3
DNK,1999,30.6
DNK,2000,39.2
DNK,2001,43.0
DNK,2002,64.3
DNK,2003,76.3
DNK,2004,80.9
DNK,2005,82.7
DNK,2006,86.7
DNK,2007,85.0
DNK,2008,85.0
DNK,2009,86.8
DNK,2010,88.7
DNK,2011,89.8
DNK,2012,92.3
