iso_o,TIME_PERIOD,export,import,net_imp,gdp_pct,co2,manufacturing,renewable,energy,trade_openness,fdi,urban,internet,population,country,continent,category,development,eci_sitc,eci_rank_sitc,importing,exporting
ARG,1995,42.976,32.687,-10.289000000000001,9934.11,3.32,17.25,10.2,1507.2,19.77,10.2,88.16,0.09,12.81,Argentina,America,Emerging and Developing Economies,0.0,0.006,64,52.0,20.0
AUS,1995,134.4,82.05199999999999,-52.34800000000001,39310.8,16.81,13.11,8.2,5138.24,37.7,8.2,84.9,2.76,2.34,Australia,Pacific,Advanced Economies,1.0,0.023,62,63.0,9.0
AUT,1995,38.796,75.014,36.217999999999996,33603.43,8.06,18.5,25.7,3374.08,68.53,25.7,61.6,1.89,96.32,Austria,Europe,Advanced Economies,1.0,2.094,5,12.0,60.0
BEL,1995,114.351,130.511,16.159999999999997,31508.62,12.08,18.34,1.3,5261.81,116.38,1.3,96.78,0.99,273.86205479452053,Belgium,Europe,Advanced Economies,1.0,1.561,15,16.0,56.0
BGD,1995,4.258,16.735,12.477,537.93,0.18,15.9,63.8,128.85,28.21,63.8,21.69,6.65,941.85,Bangladesh,Asia,Emerging and Developing Economies,0.0,-0.726,104,18.0,54.0
BGR,1995,38.697,6.8580000000000005,-31.839000000000002,4022.0,7.3,17.578,3.0,2745.16,55.26,3.0,67.78,0.12,75.98,Bulgaria,Europe,Emerging and Developing Economies,0.0,0.17,54,59.0,13.0
BLR,1995,36.334,14.056000000000001,-22.278000000000002,1885.36,5.93,27.98,2.8,2431.1,103.72,2.8,67.93,0.0,50.25,Belarus,Europe,Emerging and Developing Economies,0.0,0.239,46,57.0,15.0
BRA,1995,132.73,94.473,-38.25699999999999,6596.34,1.73,14.54,46.1,998.78,16.98,46.1,77.61,0.1,19.35,Brazil,America,Emerging and Developing Economies,0.0,0.749,29,62.0,10.0
CAN,1995,315.638,202.29899999999998,-113.339,32595.45,16.24,17.578,22.4,7995.24,69.06,22.4,77.68,4.16,3.27,Canada,America,Advanced Economies,1.0,0.826,26,68.0,4.0
CHE,1995,28.157,86.286,58.129000000000005,67264.91,6.34,18.95,17.6,3405.68,76.25,17.6,73.65,3.55,178.11,Switzerland,Europe,Advanced Economies,1.0,2.441,2,10.0,62.0
CHL,1995,21.717,25.055,3.338000000000001,7201.13,2.88,19.25,34.2,1262.62,54.69,34.2,84.54,0.35,19.54,Chile,America,Emerging and Developing Economies,0.0,-0.293,74,31.0,41.0
CHN,1995,581.409,176.869,-404.53999999999996,1545.19,2.79,17.578,29.4,872.83,34.1,29.4,30.96,0.0,128.34,China,Asia,Emerging and Developing Economies,0.0,0.504,37,70.0,2.0
CIV,1995,8.833,4.958,-3.875,1647.09,0.25,15.05,74.9,346.98,76.2,74.9,41.21,0.0,46.72,Côte d'Ivoire,Africa,Emerging and Developing Economies,0.0,-0.493,90,47.0,25.0
CMR,1995,4.086,2.081,-2.0050000000000003,1062.02,0.39,16.67,84.5,424.11,36.68,84.5,42.57,6.65,27.62,Cameroon,Africa,Emerging and Developing Economies,0.0,-1.021,122,46.0,26.0
COL,1995,28.924,29.321,0.397000000000002,4189.73,1.75,14.76,33.5,786.06,35.5,33.5,71.78,0.19,32.27,Colombia,America,Emerging and Developing Economies,0.0,-0.021,65,41.0,31.0
CRI,1995,5.05,7.343,2.293,6940.84,1.4,19.01,35.0,666.9,79.77,35.0,54.56,0.42,69.24,Costa Rica,America,Emerging and Developing Economies,0.0,0.018,63,35.0,37.0
CYP,1995,4.744,7.545,2.801,19453.85,6.79,9.54,3.3,1974.1,134.39,3.3,68.04,0.41,93.37,Cyprus,Europe,Advanced Economies,1.0,0.577,34,33.0,39.0
CZE,1995,56.893,39.404,-17.488999999999997,11453.38,12.94,21.37,5.3,4042.61,82.9,5.3,74.64,1.45,133.65,Czech Republic,Europe,Advanced Economies,1.0,1.338,19,56.0,16.0
DEU,1995,307.678,624.985,317.307,31990.79,11.15,20.22,2.3,4119.89,42.61,2.3,73.92,1.84,233.97,Germany,Europe,Advanced Economies,1.0,2.406,3,3.0,69.0
DNK,1995,45.437,48.598,3.1610000000000014,43328.53,11.58,14.73,7.5,3707.41,68.57,7.5,84.98,3.83,130.83,Denmark,Europe,Advanced Economies,1.0,1.531,16,32.0,40.0
