iso_o,TIME_PERIOD,schooling
ARG,2000,15.68756962
ARG,2001,16.30578041
ARG,2002,16.39250946
ARG,2003,16.26638985
ARG,2004,16.29898071
ARG,2005,16.01845932
ARG,2006,16.17373085
ARG,2007,16.18906021
ARG,2008,16.38180923
ARG,2009,16.7100296
ARG,2010,17.02877998
ARG,2011,17.26371956
ARG,2012,17.23535919
ARG,2013,17.2339592
ARG,2014,17.42231941
ARG,2015,17.58465958
ARG,2016,17.85773087
ARG,2017,17.84296989
ARG,2018,17.85782051
ARG,2019,18.08637047
ARG,2020,18.36116028
AUS,2000,20.77985446
AUS,2001,20.9443762
AUS,2002,21.10889795
AUS,2003,21.2734197
AUS,2004,21.43794145
AUS,2005,21.60246319
AUS,2006,21.76698494
AUS,2007,21.93150669
AUS,2008,22.09602843
AUS,2009,22.26055018
AUS,2010,22.42507193
AUS,2011,22.58959368
AUS,2012,22.75411542
AUS,2013,22.91863717
AUS,2014,23.08315892
AUS,2015,23.24768066
AUS,2016,22.85634995
AUS,2017,21.95104027
AUS,2018,20.42849922
AUS,2019,21.37561989
AUS,2020,20.93943977
AUT,2000,15.23290888
AUT,2001,15.30792332
AUT,2002,15.38293775
AUT,2003,15.45795218
AUT,2004,15.53296661
AUT,2005,15.60798105
AUT,2006,15.68299548
AUT,2007,15.75800991
AUT,2008,15.86114979
AUT,2009,15.86686993
AUT,2010,16.12933922
AUT,2011,16.17313004
AUT,2012,16.30450058
AUT,2013,16.03704071
AUT,2014,16.02224922
AUT,2015,16.03313065
AUT,2016,15.89675999
AUT,2017,15.94421005
AUT,2018,16.02190971
AUT,2019,16.07625008
AUT,2020,16.12446976
BEL,2000,17.77131081
BEL,2001,18.30985069
BEL,2002,18.48284912
BEL,2003,18.70292091
BEL,2004,18.48070908
BEL,2005,18.83530998
BEL,2006,19.05407906
BEL,2007,19.09911919
BEL,2008,19.13726044
BEL,2009,19.16604042
BEL,2010,19.21767998
BEL,2011,19.04887962
BEL,2012,19.16010094
BEL,2013,19.35095978
BEL,2014,19.70776939
BEL,2015,19.79195976
BEL,2016,19.65690994
BEL,2017,19.76102066
BEL,2018,19.56148911
BEL,2019,19.56838989
BEL,2020,19.27527046
BGD,2000,7.566326777
BGD,2001,7.768949445
BGD,2002,7.971572113
BGD,2003,8.174194781
BGD,2004,8.376817449
BGD,2005,8.579440117
BGD,2006,8.65802002
BGD,2007,8.669939995
BGD,2008,8.411370277
BGD,2009,8.948829651
BGD,2010,9.298855373
BGD,2011,9.648881095
BGD,2012,9.998906817
BGD,2013,10.34893254
BGD,2014,10.69895826
BGD,2015,11.04898398
BGD,2016,11.3990097
BGD,2017,10.9198904
BGD,2018,11.39918995
BGD,2019,11.67276001
BGD,2020,11.94633007
BGR,2000,12.80523014
BGR,2001,12.79557037
BGR,2002,13.19983006
BGR,2003,13.66489029
BGR,2004,13.87141991
BGR,2005,14.02011013
BGR,2006,14.08423996
BGR,2007,14.25047016
BGR,2008,14.18344975
BGR,2009,14.2339201
BGR,2010,14.48367023
BGR,2011,14.58668041
BGR,2012,14.56939983
BGR,2013,15.06062984
BGR,2014,15.49750042
BGR,2015,15.60958004
BGR,2016,15.56826019
BGR,2017,15.59177971
BGR,2018,15.6224699
BGR,2019,15.59498978
BGR,2020,15.61781979
BLR,2000,13.24389331
BLR,2001,13.62064505
BLR,2002,13.99739679
BLR,2003,14.37414853
BLR,2004,14.75090027
BLR,2005,14.89752007
BLR,2006,15.05309963
BLR,2007,15.19005013
BLR,2008,15.4284296
BLR,2009,15.51830006
BLR,2010,15.55224037
BLR,2011,15.69522953
BLR,2012,15.77573967
BLR,2013,15.57808018
BLR,2014,15.41368008
BLR,2015,15.26385021
BLR,2016,15.18873024
BLR,2017,15.00545025
BLR,2018,14.67171001
BLR,2019,14.40011024
BLR,2020,14.26484013
BRA,2000,14.59323334
BRA,2001,14.64400393
BRA,2002,14.69495116
BRA,2003,14.74607564
BRA,2004,14.79737798
BRA,2005,14.8488588
BRA,2006,14.90051873
BRA,2007,14.95235838
BRA,2008,15.00437839
BRA,2009,15.05657938
BRA,2010,15.10896198
BRA,2011,15.16152681
BRA,2012,15.21427453
BRA,2013,15.24518967
BRA,2014,15.36814022
BRA,2015,15.24540043
BRA,2016,15.29432011
BRA,2017,15.40701962
BRA,2018,15.50376034
BRA,2019,15.44937038
BRA,2020,15.44596004
BRN,2000,11.53234005
BRN,2001,11.63160038
BRN,2002,11.85077953
BRN,2003,12.22157955
BRN,2004,12.60894012
BRN,2005,12.88778973
BRN,2006,13.25531006
BRN,2007,13.42671967
BRN,2008,13.53855038
BRN,2009,13.80313015
BRN,2010,13.87399006
BRN,2011,14.1947403
BRN,2012,14.74849987
BRN,2013,14.74330044
BRN,2014,14.63543034
BRN,2015,14.33631992
BRN,2016,14.21236992
BRN,2017,14.06844997
BRN,2018,13.94052982
BRN,2019,13.76078033
BRN,2020,13.69861984
CAN,2000,15.75918961
CAN,2001,15.67950685
CAN,2002,15.59982409
CAN,2003,15.52014133
CAN,2004,15.44045857
CAN,2005,15.36077581
CAN,2006,15.28109305
CAN,2007,15.20141029
CAN,2008,15.2363596
CAN,2009,15.31015968
CAN,2010,15.17741013
CAN,2011,15.24262047
CAN,2012,15.72655964
CAN,2013,15.82699013
CAN,2014,15.87559986
CAN,2015,15.95269012
CAN,2016,15.93340015
CAN,2017,15.99886036
CAN,2018,15.93410969
CAN,2019,15.93334007
CAN,2020,15.94466972
CHE,2000,15.03796959
CHE,2001,15.06583977
CHE,2002,14.96234989
CHE,2003,15.10202026
CHE,2004,15.18083
CHE,2005,15.22286034
CHE,2006,15.31324959
CHE,2007,15.42905998
CHE,2008,15.48637962
CHE,2009,15.51601982
CHE,2010,15.6798296
CHE,2011,15.6731596
CHE,2012,15.82800961
CHE,2013,16.02375984
CHE,2014,16.08971977
CHE,2015,16.1556797
CHE,2016,16.1342907
CHE,2017,16.16839981
CHE,2018,16.25905037
CHE,2019,16.3445797
CHE,2020,16.43366051
CHL,2000,13.13626003
CHL,2001,13.33110523
CHL,2002,13.52595043
CHL,2003,13.74680042
CHL,2004,14.06828022
CHL,2005,14.38132
CHL,2006,14.31814957
CHL,2007,14.70213032
CHL,2008,14.85708046
CHL,2009,14.88204002
CHL,2010,15.09842968
CHL,2011,15.31116009
CHL,2012,15.41316986
CHL,2013,16.10619926
CHL,2014,16.26062965
CHL,2015,16.39200974
CHL,2016,16.49542999
CHL,2017,16.53348923
CHL,2018,16.60621071
CHL,2019,16.64357948
CHL,2020,16.34049988
CHN,2000,9.904560328
CHN,2001,10.16046047
CHN,2002,10.5064764
CHN,2003,10.85249233
CHN,2004,11.19850826
CHN,2005,11.54452419
CHN,2006,11.89054012
CHN,2007,12.20328999
CHN,2008,12.51947975
CHN,2009,12.85252953
CHN,2010,13.04319954
CHN,2011,13.15779018
CHN,2012,13.28357029
CHN,2013,13.5112315
CHN,2014,13.7427945
CHN,2015,13.97832615
CHN,2016,14.21789447
CHN,2017,14.46156865
CHN,2018,14.70941905
CHN,2019,14.96151725
CHN,2020,15.21793605
CIV,2000,6.487278112
CIV,2001,6.615596072
CIV,2002,6.743914032
CIV,2003,6.872231992
CIV,2004,7.000549952
CIV,2005,7.128867912
CIV,2006,7.257185872
CIV,2007,7.385503832
CIV,2008,7.513821793
CIV,2009,7.642139753
CIV,2010,7.770457713
CIV,2011,7.898775673
CIV,2012,8.027093633
CIV,2013,8.155411593
CIV,2014,8.283729553
CIV,2015,8.547829628
CIV,2016,9.07269001
CIV,2017,9.474160194
CIV,2018,9.697870255
CIV,2019,9.921580315
