iso_o,iso_d,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,AUS,64.3152,74.1987,94.3951,122.2488,126.7,154.6652,134.1212,223.1923,325.2493,274.602,275.1658,556.6913,590.7129,732.727,674.644,590.4567,488.9957,606.9266,587.2521,517.9935,533.4628
ARG,AUT,9.8116,12.5819,23.0765,15.6121,24.4899,31.318,34.5577,107.7226,108.5875,88.3456,109.6336,145.1284,114.3778,97.6846,114.7553,67.8357,47.3478,53.4921,56.4537,49.5717,30.2072
ARG,BEL,313.5112,294.9129,274.9363,288.4515,305.2315,322.528,351.8855,447.599,593.1473,417.8754,287.2482,387.1113,391.2014,258.5067,257.5127,381.658,374.8236,359.4392,346.894,320.0775,228.1179
ARG,BGD,215.1831,137.1267,120.651,222.1278,138.2247,188.6597,202.4563,375.713,325.6821,281.8382,385.8636,725.1278,464.3651,501.6112,502.7852,400.8018,390.0191,583.5295,531.19,607.1209,456.2418
ARG,BGR,4.3286,7.2678,20.6812,21.6,19.8337,90.4275,87.5046,23.7786,26.8903,17.7712,76.0571,86.7625,61.2453,91.7545,61.4915,56.711,29.9487,85.6221,53.1692,57.4239,38.8479
ARG,BLR,3.77,2.3076,1.2251,2.7532,4.1794,12.1133,46.3259,37.0694,50.0211,50.024,99.1696,108.4736,112.3467,130.4699,8.7499,24.905,33.6503,90.3414,77.8306,36.5821,86.2275
ARG,BRA,6927.3113,6194.9667,4803.2125,4711.6418,5543.7216,6302.0219,8122.0633,10461.7278,13262.1183,11290.4614,14432.7444,17099.2935,16448.7295,16327.9742,14072.5907,10216.7308,9060.9424,9362.3191,11211.0831,10553.8319,7924.1538
ARG,BRN,1.2176,0.5066,0.2651,0.497,0.3379,0.2504,0.6334,0.3369,0.3873,0.5885,0.5164,0.2102,0.1849,5.4731,6.9922,13.4156,9.1453,11.7164,14.5567,9.3416,12.3215
ARG,CAN,247.3446,217.182,185.6019,232.1917,199.4405,337.116,447.0738,393.0158,527.7028,540.3582,1413.0999,2285.5181,2152.4444,1706.9113,1676.4382,1399.0977,1196.492,1386.4392,1332.6342,686.1532,493.0472
ARG,CHE,87.8181,34.5197,24.8483,31.7534,29.8631,114.8374,540.629,542.124,686.2152,909.5589,777.0555,459.6124,657.7145,562.1296,558.5336,1237.6273,1124.7262,1239.4468,1316.4783,1658.7623,1023.6565
ARG,CHL,2693.6319,2881.118,2899.694,3581.7199,3907.5659,4541.3023,4347.3616,4076.9019,4594.0159,4322.5314,4545.0497,4794.9418,5055.536,3786.0809,2802.2941,2404.6647,2365.6672,2682.2831,3078.5658,3167.1422,2961.6034
ARG,CHN,835.8274,1159.4191,1107.8875,2453.1597,2806.1886,3296.0683,3420.4177,5478.3948,7569.714,3811.4706,6023.5643,5853.1935,5692.4919,5550.7954,4674.6514,5196.8479,4563.6979,4355.4593,3706.5346,6772.7036,5750.018
ARG,CIV,3.915,6.2006,7.3397,4.4974,6.6318,17.1143,12.0827,17.4477,34.1276,18.0448,20.0859,21.4312,33.307,9.6694,33.5645,32.6301,23.4095,44.9306,60.4545,56.7867,52.7096
ARG,CMR,0.4399,0.9963,2.4269,1.9423,3.2826,7.9078,11.1217,12.9684,19.9854,36.9052,23.862,53.0952,43.8125,50.4215,43.2993,38.4257,27.1818,43.5967,42.9851,52.2238,51.5286
ARG,COL,134.8816,189.2108,191.7649,234.6956,293.7527,375.3328,543.7799,625.8803,822.6419,927.4297,1336.2605,1735.2679,2066.2404,1532.7049,909.6029,445.7309,497.8929,540.3879,682.6658,917.6429,638.005
ARG,CRI,33.5426,31.1909,27.7328,40.2298,72.0565,56.0404,100.2563,106.0863,76.6409,150.0892,100.7016,146.6593,96.2731,137.437,58.0916,54.8523,54.0405,115.7474,101.4439,116.7227,90.1038
ARG,CYP,17.7142,19.2139,23.8006,25.4692,25.177,19.0897,22.7238,31.7563,35.7453,37.1403,41.7995,34.0604,24.9838,14.4082,17.5258,31.4687,28.6439,24.573,39.9867,37.5548,38.6752
ARG,CZE,5.1383,17.0832,38.9361,33.1221,30.9455,39.5445,38.2702,42.6734,63.0446,29.7881,47.6668,74.0866,62.6552,33.7035,65.889,79.0831,100.2435,76.6727,71.567,57.076,38.4318
ARG,DEU,688.1117,580.614,723.9588,912.7166,989.1802,990.2252,1380.8496,1641.3636,2042.823,1789.0557,2152.3281,2913.3429,2344.5445,2048.37,1947.7903,1567.499,1539.2583,1298.6463,1343.8022,1061.7823,870.8864
ARG,DNK,207.4005,230.3144,235.2295,268.7532,326.3009,306.2,302.4251,344.7774,526.6481,446.6532,430.4535,505.9948,415.698,292.3444,327.6738,329.3234,242.1852,232.7997,244.3942,201.9482,197.6534
ARG,EGY,294.2686,300.472,360.3256,398.9388,486.5824,522.7762,281.8375,517.5722,1015.311,520.0353,898.3445,1696.7147,1004.2741,1355.0305,1049.8423,1163.4163,1807.6807,1297.241,949.4283,1010.7347,1136.8381
ARG,ESP,971.2128,1115.0707,1195.7774,1446.702,1493.0119,1620.5124,1835.4244,2258.0357,2995.9208,1782.3265,2192.8303,2760.7778,2374.2901,1709.4753,1626.3341,1383.6512,1589.3635,1557.8067,1823.4121,1562.7864,1306.4088
ARG,EST,1.3694,1.0881,4.6334,5.5063,5.7923,5.4259,6.9839,7.5746,7.4186,8.6804,8.5059,10.1521,10.2732,13.2451,10.4978,6.7584,6.927,3.8293,3.6291,3.4578,2.5565
ARG,FIN,42.1768,54.1888,54.9592,78.5375,94.6832,57.092,105.5953,135.8953,49.532,23.3087,22.9292,51.2769,54.6414,76.7327,48.3128,25.0565,128.3426,128.7443,13.8043,11.6016,10.7621
ARG,FRA,470.5175,332.2155,360.54,442.8325,400.8596,470.2562,660.5974,682.4841,1042.4712,571.3782,624.288,741.8225,554.2873,513.4174,406.5658,408.5571,411.6738,349.8418,404.9627,390.7629,370.7848
ARG,GBR,303.7093,325.4585,382.2216,432.7993,473.7908,448.0214,587.6627,745.5353,939.1397,840.3499,831.0137,885.0271,867.9443,760.3389,868.1095,767.1285,735.0986,802.0438,828.2288,732.9199,740.4332
ARG,GRC,81.2443,66.0562,72.4011,108.4184,136.5673,84.6657,87.1888,133.1632,146.0429,155.4758,131.5354,129.6901,117.8221,137.6085,143.7409,124.3019,118.6013,134.7479,171.5039,156.6216,177.5071
ARG,HKG,119.8871,137.1953,120.0671,141.5529,161.9366,163.049,166.2782,188.4987,190.207,247.5577,240.6571,249.6723,229.0767,235.2758,251.5385,158.1125,164.8988,170.8571,185.1295,177.1632,130.052
ARG,HRV,3.6356,5.4443,8.8418,12.0557,28.588,54.1292,38.5165,30.9879,44.206,25.5422,26.4765,36.0309,28.7795,38.1017,91.9187,128.2078,77.8552,54.6773,31.4144,32.0621,23.0901
ARG,HUN,9.8709,11.958,15.3995,19.2328,13.3972,9.9413,10.4328,13.3248,21.545,13.0395,9.0982,12.5935,13.5572,15.0707,11.7266,10.0726,9.4579,10.2407,11.7589,12.0693,12.254
ARG,IDN,76.7387,36.1773,72.6274,69.5049,274.7405,359.0158,324.9271,410.758,489.3349,595.3131,845.1667,1398.9599,1556.5839,1487.7087,1282.5607,1119.5567,1232.5911,1051.8653,1282.3355,1618.2176,1445.521
ARG,IND,382.0,434.5314,372.4795,538.4513,531.9089,668.4588,907.2311,769.6165,685.4355,603.6226,1131.9759,991.1793,1143.6059,1074.3958,1819.5298,2010.958,2270.9853,2162.1798,1619.3502,2059.2416,2423.789
ARG,IRL,27.7547,25.6825,34.7781,59.4537,46.492,74.9347,94.8045,125.7538,148.224,119.8116,128.5985,223.6277,271.1295,270.3267,263.6463,231.6214,246.2893,266.9756,309.0019,304.2346,402.4437
ARG,ISL,0.4033,0.1799,0.1578,0.4861,0.5985,1.5136,1.6416,2.8319,3.4225,3.5721,4.4557,6.3559,29.7384,2.6793,2.188,1.9866,2.586,2.293,5.0816,3.9334,2.7167
ARG,ISR,66.0306,72.6745,54.6437,88.0456,165.5553,188.2258,130.7915,192.5163,196.6679,176.4883,201.4658,218.4645,209.2147,196.5503,166.6534,165.5751,172.4886,167.8501,266.7203,245.4104,248.2096
ARG,ITA,794.2145,846.2669,895.0827,994.0571,1056.6355,1047.0566,1143.7488,1416.5227,1776.746,1465.4217,1576.2638,1972.172,1175.3205,1039.6582,1051.6421,906.7376,992.1665,1027.5794,1082.683,1007.5423,853.1722
ARG,JOR,91.8971,109.7965,102.2604,100.4775,74.5529,80.0493,58.2968,45.7009,54.3784,84.0119,117.8526,213.8637,280.5814,261.9458,284.7574,228.4127,242.409,258.7176,234.7937,210.6182,222.7606
ARG,JPN,400.2472,366.1678,410.8842,382.0459,414.4447,293.4688,428.3359,697.1675,580.891,536.0626,882.8635,948.7672,1168.0194,1590.2205,805.261,657.1462,677.9057,653.1996,569.1871,498.1554,404.2729
