Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,..,..,0.00472,0.00456,0.0879,0.106,1.22,2.11,1.9,1.84,3.55,4,5,5.45,5.9,7,8.26,11,13.5,16.8,17.6,17
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,0.0814,0.114,0.326,0.39,0.972,2.42,6.04,9.61,15,23.9,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.6,72.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,0.2,0.492,0.646,1.59,2.2,4.63,5.84,7.38,9.45,10.2,11.2,12.5,14.9,18.2,22.5,29.5,38.2,42.9,47.7,49,55.8,63.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,7.64,10.5,..,11.3,13.5,26.8,37.6,48.9,70.9,70,78.5,81,81,82.7,84.4,86.1,87.9,89.7,91.6,..,90.7,93.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,0.072,0.105,0.136,0.27,0.371,0.465,1.14,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13,21.4,22,23.2,26,29,32.1,36.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,5.3,6.48,8.9,12.5,17.2,24.3,27,30,34,38,42,47,52,58,63.4,67.8,70,71,72,73,74,75
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,3.28,7.04,9.78,10.9,11.9,16,17.7,20.9,25.9,28.1,34,45,51,55.8,59.9,64.7,68,71,74.3,77.7,79.9,85.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,0.971,1.3,1.63,1.96,4.58,4.9,5.25,5.63,6.02,6.21,15.3,25,32,37.5,41.9,54.6,59.1,64.3,64.7,68.2,66.5,76.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,4.51,15.4,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.8,88.7,93.5,97.2,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,40.8,46.8,52.7,..,..,..,63,66,69.5,71.7,74.3,76,79.5,79,83.5,84,84.6,86.5,86.5,90,93.6,94.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,23,33.7,39.2,36.6,42.7,54.3,58,63.6,69.4,72.9,73.5,75.2,78.7,80,80.6,81,83.9,84.3,87.9,87.5,87.8,87.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,0.0992,0.148,0.306,5,..,..,8.03,12,14.5,17.1,27.4,46,50,54.2,73,75,77,78.2,79,79.8,81.1,84.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,3.76,8,11.8,18,20,22,25,26,27,31.5,33.9,43,65,71.7,72,76.9,78,80,80.6,83,90.7,92.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,4.72,6.15,15,18.1,21.6,21.5,21.3,28.2,32.9,52,53,55,77,88,90,90.5,93.5,98,95.9,98.6,99.7,99.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,0.0362,0.071,0.13,0.14,0.164,0.199,0.242,1,1.8,2.5,3.1,3.7,4.5,5,6.63,11.9,12.9,18.1,21.5,25.6,30.4,36.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,2.38,3.97,11.9,27.8,39.7,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,71.9,72,72.2,72.3,72.4,74.2,76
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,0.495,1.86,4.3,8.95,..,..,..,16.2,19.7,23,27.4,31.8,39.6,46.9,54.2,59,62.2,71.1,74.4,79.1,82.8,85.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,13.8,29.4,31.3,46.3,50,53.9,55.8,62,66.8,68.9,74.5,77.6,81.6,80.7,82.2,85,85.1,86.5,87.7,88.6,90.3,91.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,4.08,5.96,..,5.68,..,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.6,44.6,48.9,53.6,58.8,64.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,0.155,0.225,0.363,0.703,0.951,1.18,1.27,1.54,1.79,1.85,2.24,3.13,4.15,4.5,4.9,6,11.3,14.5,18.7,19,20.5,22.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,39.9,42.9,47.5,52,56.5,61,65.4,69.9,74.4,82.3,83.3,84.2,88.3,91.3,95.3,96.8,98.3,98,98.4,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,0.138,0.401,0.865,1.68,2.44,3.16,3.85,4.52,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,46.5,54.3,63.5,74.2,76.9
