Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Afghanistan,AFG,..,..,..,..,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Albania,ALB,..,..,..,..,..,3.5,3.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Angola,AGO,..,..,..,..,..,2,2,2,2,2,2,2,2,2,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Armenia,ARM,..,..,..,..,..,4,4,4,4,4,4,4,4,4.5,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
