Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Trade (% of GDP) [NE.TRD.GNFS.ZS]
2014,YR2014,Afghanistan,AFG,20497128555.6972,625.054941813938,32792523,..
2014,YR2014,Albania,ALB,13296322588.1684,4602.23051443229,2889104,75.0212023084129
2014,YR2014,Algeria,DZA,238942664192.59,6094.69392314956,39205031,56.9235419669867
2014,YR2014,American Samoa,ASM,643000000,12026.3344929488,53466,174.805598755832
2014,YR2014,Andorra,AND,3271685596.66321,44369.659691379,73737,..
2014,YR2014,Angola,AGO,135966802586.713,5005.9997412707,27160769,79.3329227828897
2014,YR2014,Antigua and Barbuda,ATG,1378707407.40741,15532.1062063584,88765,141.546161057996
2014,YR2014,Argentina,ARG,526319673731.638,12233.1444119186,43024071,28.4067936452275
2014,YR2014,Armenia,ARM,11609513246.7958,3852.11800610384,3013800,75.778866962639
2014,YR2014,Aruba,ABW,2790849720.67039,26129.8390617693,106807,162.88205210123
2014,YR2014,Australia,AUS,1468265356427.76,62544.0873773726,23475686,42.4840230270994
2014,YR2014,Austria,AUT,438556021078.034,51314.9722616322,8546356,104.49673998926
2014,YR2014,Azerbaijan,AZE,75239785452.1022,7890.84028062087,9535079,69.4832251953347
2014,YR2014,"Bahamas, The",BHS,11139100000,29137.2175632622,382298,80.5370272284116
2014,YR2014,Bahrain,BHR,34772526595.7447,26451.7965647453,1314562,168.57585814186
2014,YR2014,Bangladesh,BGD,172886611653.786,1094.46199702838,157964929,44.5140801968096
2014,YR2014,Barbados,BRB,5365976700,19277.9423599235,278348,..
2014,YR2014,Belarus,BLR,78813069120.9984,8341.31809294883,9448515,110.651424367582
2014,YR2014,Belgium,BEL,537987419164.351,47995.7786961339,11209057,158.571610953523
2014,YR2014,Belize,BLZ,2138250000,6128.14288539305,348923,107.120308663627
2014,YR2014,Benin,BEN,13284527846.9081,1204.39918670094,11030004,65.2682749404551
2014,YR2014,Bermuda,BMU,6413988000,100961.576602811,63529,76.5167474588353
2014,YR2014,Bhutan,BTN,2089079570.58285,2849.49998647303,733139,87.9342562013295
2014,YR2014,Bolivia,BOL,32996188017.3661,3041.43503162408,10848888,85.2644695625131
