Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Trade (% of GDP) [NE.TRD.GNFS.ZS]
2008,YR2008,Afghanistan,AFG,10109297047.5432,381.73323802844,26482622,..
2008,YR2008,Albania,ALB,13258506375.4518,4498.50486763601,2947314,75.2485472798728
2008,YR2008,Algeria,DZA,180383848331.135,5180.91881514686,34816961,71.0284922505261
2008,YR2008,American Samoa,ASM,560000000,10030.8089130902,55828,249.821428571429
2008,YR2008,Andorra,AND,4102319399.02343,49132.515707808,83495,..
2008,YR2008,Angola,AGO,88538665084.8634,4103.0669003635,21578655,121.364708453698
2008,YR2008,Antigua and Barbuda,ATG,1557640740.74074,18786.6743142216,82912,..
2008,YR2008,Argentina,ARG,361558037110.419,8944.1102657357,40424148,40.4026733790382
2008,YR2008,Armenia,ARM,11662040713.8753,3777.66859313767,3087100,54.5423279613666
2008,YR2008,Aruba,ABW,2843024581.00559,28171.9094008501,100917,139.110149824701
2008,YR2008,Australia,AUS,1056112427190.38,49701.2817843335,21249199,42.8467764017331
2008,YR2008,Austria,AUT,429234399096.173,51581.3982361071,8321496,102.7437043613
2008,YR2008,Azerbaijan,AZE,48851293785.4483,5574.46810432575,8763400,89.2428968637573
2008,YR2008,"Bahamas, The",BHS,10526000000,29392.3824416397,358120,87.4292228766863
2008,YR2008,Bahrain,BHR,25710904255.3191,23299.4992780392,1103496,145.882511145821
2008,YR2008,Bangladesh,BGD,91636997370.9772,613.06204104124,149474264,42.6209140325589
2008,YR2008,Barbados,BRB,4790410400,17565.6929970592,272714,..
2008,YR2008,Belarus,BLR,60752106347.126,6376.17569162063,9527985,129.599478545475
2008,YR2008,Belgium,BEL,517328087920.078,48303.397956286,10709973,161.088447790447
2008,YR2008,Belize,BLZ,1738900000,5713.28126796797,304361,105.44022082926
2008,YR2008,Benin,BEN,9787734526.23965,1060.60254502099,9228466,47.7753592695169
2008,YR2008,Bermuda,BMU,6980000000,110268.562401264,63300,..
2008,YR2008,Bhutan,BTN,1317517834.59916,1919.59774896395,686351,101.954235669521
2008,YR2008,Bolivia,BOL,16674276285.8956,1692.67248455876,9850858,82.8670208961798
2008,YR2008,Bosnia and Herzegovina,BIH,19112796623.1175,4841.69311934649,3947544,86.1628798430504
2008,YR2008,Botswana,BWA,10730829116.4105,5503.07395314313,1949970,99.008222007989
2008,YR2008,Brazil,BRA,1695855083497.52,8908.33176538648,190367302,27.257569417356
2008,YR2008,British Virgin Islands,VGB,..,..,26288,..
2008,YR2008,Brunei Darussalam,BRN,15926456491.5178,42156.5685216979,377793,89.7454254846842
2008,YR2008,Bulgaria,BGR,54480684188.4442,7271.30338858025,7492561,124.688747515359
2008,YR2008,Burkina Faso,BFA,9451435490.11467,619.437533256264,15258093,35.3853169801502
2008,YR2008,Burundi,BDI,1611835857.04588,189.502074570768,8505637,47.1999995814015
2008,YR2008,Cabo Verde,CPV,1959620648.31578,3908.64885822576,501355,78.184115830287
2008,YR2008,Cambodia,KHM,12174303999.0812,866.283999789749,14053479,130.393510678736
2008,YR2008,Cameroon,CMR,27715142032.913,1492.14269801453,18574056,56.9244171562734
2008,YR2008,Canada,CAN,1552989690721.65,46710.2526864484,33247298,67.0236083618983
2008,YR2008,Cayman Islands,CYM,4585949023.79609,89655.1196222184,51151,..
2008,YR2008,Central African Republic,CAF,1993407888.49838,437.24827472489,4558984,34.4375218095517
2008,YR2008,Chad,TCD,13385593990.3378,1166.36883453841,11476296,69.0677746090641
2008,YR2008,Channel Islands,CHI,..,..,156408,..
2008,YR2008,Chile,CHL,179894594475.405,10683.2188772511,16838988,80.6766262406468
2008,YR2008,China,CHN,4667346414521.95,3523.44302065213,1324655000,56.7111330003209
2008,YR2008,Colombia,COL,242504150472.931,5541.83629665898,43758808,39.1676494164355
2008,YR2008,Comoros,COM,915659107.965823,1455.02768595586,629307,36.2185263542809
2008,YR2008,"Congo, Dem. Rep.",COD,19788515590.1284,307.319638606745,64390664,83.7722916507983
2008,YR2008,"Congo, Rep.",COG,11649857673.4436,2832.09177777643,4113517,133.108486659608
2008,YR2008,Costa Rica,CRI,30801745700.4514,6937.24261596055,4440056,86.4015127113254
2008,YR2008,Cote d'Ivoire,CIV,34078240293.2559,1583.97066701372,21514439,61.9406212969499
2008,YR2008,Croatia,HRV,68478776205.9826,15889.4347074759,4309705,82.0719814536512
2008,YR2008,Cuba,CUB,56302129629.6296,4986.12436479175,11291762,44.917220748508
2008,YR2008,Curacao,CUW,2833476145.2514,19423.3352430175,145880,166.739541731544
2008,YR2008,Cyprus,CYP,27844646257.507,35397.296875,1091026,112.925930874708
2008,YR2008,Czechia,CZE,236506264753.95,22774.7045076205,10384603,123.904809929948
2008,YR2008,Denmark,DNK,354979471960.142,64616.6657583663,5493621,104.470310168489
2008,YR2008,Djibouti,DJI,999105339.267729,1119.15233346969,892734,..
2008,YR2008,Dominica,DMA,480003703.703704,6971.32633839289,68854,..
2008,YR2008,Dominican Republic,DOM,48091433554.186,5023.58513403515,9573130,61.4285058325394
2008,YR2008,Ecuador,ECU,61139438000,4194.75750661981,14575202,74.5902963648439
2008,YR2008,"Egypt, Arab Rep.",EGY,162818181818.182,1896.21594269779,85864789,71.6806253489671
