Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Trade (% of GDP) [NE.TRD.GNFS.ZS]
2017,YR2017,Afghanistan,AFG,18753456497.8159,525.469770891619,35688935,..
2017,YR2017,Albania,ALB,13258268435.6048,4614.0479692596,2873457,76.7873817898989
2017,YR2017,Algeria,DZA,189880896903.073,4554.66753957828,41689299,49.8208161712587
2017,YR2017,American Samoa,ASM,612000000,11863.6839452565,51586,161.437908496732
2017,YR2017,Andorra,AND,3000162081.11976,40672.9943348258,73763,..
2017,YR2017,Angola,AGO,73690154990.7312,2437.25971190821,30234839,52.2568222278462
2017,YR2017,Antigua and Barbuda,ATG,1534855555.55556,16965.7288273816,90468,127.664323582144
2017,YR2017,Argentina,ARG,643628393281.364,14532.5009308511,44288894,25.2896011376779
2017,YR2017,Armenia,ARM,11527458709.0158,3869.05373867752,2979400,87.202376539837
2017,YR2017,Aruba,ABW,3092429050.27933,28440.051963759,108735,143.804295515015
2017,YR2017,Australia,AUS,1325582658156.54,53901.7145392154,24592588,42.2037316765804
2017,YR2017,Austria,AUT,414926138132.691,47163.7425775142,8797566,105.556066755438
2017,YR2017,Azerbaijan,AZE,40866627351.9817,4147.1981423222,9854033,90.4023156823216
2017,YR2017,"Bahamas, The",BHS,12446900000,31875.4881749619,390485,68.334284038596
2017,YR2017,Bahrain,BHR,37204813829.7872,24784.7693514607,1501116,136.429239810394
2017,YR2017,Bangladesh,BGD,293732446624.596,1811.08221668646,162186147,29.9997306724343
2017,YR2017,Barbados,BRB,5517340450,19692.7606711615,280171,..
2017,YR2017,Belarus,BLR,54725405751.1559,5785.54491935194,9458989,133.367754723012
2017,YR2017,Belgium,BEL,500908767351.53,44035.3239358548,11375158,166.904078237791
2017,YR2017,Belize,BLZ,2266300000,6072.58267640581,373202,97.6922737501655
2017,YR2017,Benin,BEN,12701655836.9467,1054.97408066814,12039780,61.4765969588474
2017,YR2017,Bermuda,BMU,7142316000,112339.425587467,63578,72.3924284503794
2017,YR2017,Bhutan,BTN,2591358009.20276,3435.28804735662,754335,76.7884016850221
2017,YR2017,Bolivia,BOL,37508642170.767,3306.30301224425,11344587,56.7046527566598
2017,YR2017,Bosnia and Herzegovina,BIH,18326373366.1105,5345.01985489192,3428682,96.6458791411189
2017,YR2017,Botswana,BWA,16105155856.7708,7104.96401088027,2266747,81.9239513763494
2017,YR2017,Brazil,BRA,2063514977365.65,10080.5092819305,204703445,24.3197343743057
2017,YR2017,British Virgin Islands,VGB,..,..,32699,..
2017,YR2017,Brunei Darussalam,BRN,12128168046.7827,28024.3824618568,432772,85.1768604153529
2017,YR2017,Bulgaria,BGR,59167647387.606,8696.68930427924,6803468,129.634429048004
2017,YR2017,Burkina Faso,BFA,14106955615.3442,709.091535894695,19894407,59.2687802020168
2017,YR2017,Burundi,BDI,2723586962.84034,236.694472592753,11506762,22.2402931011977
2017,YR2017,Cabo Verde,CPV,1996741539.95088,3893.09571382506,512893,100.052133904219
2017,YR2017,Cambodia,KHM,29355665909.7905,1826.35391688754,16073372,121.155451298689
2017,YR2017,Cameroon,CMR,36098547033.1655,1496.08951771242,24128601,39.1990216052629
2017,YR2017,Canada,CAN,1649265644244.09,45129.628116623,36545075,65.1010608504649
2017,YR2017,Cayman Islands,CYM,5166281305.12522,80053.9444506891,64535,117.436583687346
2017,YR2017,Central African Republic,CAF,2072349972.6818,432.324025684263,4793511,57.1435457117119
2017,YR2017,Chad,TCD,13349041408.7152,854.46120040098,15622759,43.2900613852468
2017,YR2017,Channel Islands,CHI,9170079922.77992,55806.5708942966,164319,..
2017,YR2017,Chile,CHL,276154259981.097,14879.9086227187,18558868,56.0261589675707
2017,YR2017,China,CHN,12537559062282.9,8979.67652709856,1396215000,36.9508526159275
2017,YR2017,Colombia,COL,311866875156.879,6479.53231292429,48131078,35.2829149424588
