Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Trade (% of GDP) [NE.TRD.GNFS.ZS]
2011,YR2011,Afghanistan,AFG,17805098206.3141,606.694676337726,29347708,..
2011,YR2011,Albania,ALB,12973755874.5365,4465.70914328865,2905195,80.6989985298954
2011,YR2011,Algeria,DZA,218331946925.304,5916.31364364343,36903376,62.2200899610479
2011,YR2011,American Samoa,ASM,570000000,10383.459331451,54895,157.543859649123
2011,YR2011,Andorra,AND,3629133574.27783,46657.1561173756,77783,..
2011,YR2011,Angola,AGO,111789747670.59,4615.91059831778,24218352,99.9825063313368
2011,YR2011,Antigua and Barbuda,ATG,1287359259.25926,14911.7275084471,86332,..
2011,YR2011,Argentina,ARG,530158122010.442,12704.2831819684,41730660,35.2061549999644
2011,YR2011,Armenia,ARM,10142111824.5835,3349.55309771906,3027900,69.4355736620453
2011,YR2011,Aruba,ABW,2637859217.87709,25712.3843015186,102591,154.437786862887
2011,YR2011,Australia,AUS,1398610616772.97,62605.600458306,22340024,41.851132029052
2011,YR2011,Austria,AUT,428954737064.057,51116.8953522042,8391643,105.775098372378
2011,YR2011,Azerbaijan,AZE,65952796427.9473,7189.81869211976,9173082,80.5080450059522
2011,YR2011,"Bahamas, The",BHS,10070450000,27090.8376801379,371729,88.3336891598687
2011,YR2011,Bahrain,BHR,29914680851.0638,25032.7867743333,1195020,167.529641035854
2011,YR2011,Bangladesh,BGD,128607482310.357,837.336944695647,153591076,47.4208498356898
2011,YR2011,Barbados,BRB,5342183800,19345.9953139542,276139,..
2011,YR2011,Belarus,BLR,61762382327.9319,6527.6593428786,9461643,157.974255073313
2011,YR2011,Belgium,BEL,527196649048.639,47760.8298776546,11038264,160.765516888126
2011,YR2011,Belize,BLZ,1827050000,5582.22170621269,327298,107.194658055335
2011,YR2011,Benin,BEN,10693321363.6574,1059.41358852588,10093623,47.2170288118403
2011,YR2011,Bermuda,BMU,6312691000,99049.0169927667,63733,76.2704368073774
2011,YR2011,Bhutan,BTN,1977728658.68259,2787.97967608562,709377,102.795600221106
2011,YR2011,Bolivia,BOL,23963164696.592,2315.52121930607,10348929,82.4803954243518
2011,YR2011,Bosnia and Herzegovina,BIH,18644233537.1093,4982.69375768263,3741798,87.8363477136556
2011,YR2011,Botswana,BWA,15110643612.1729,7287.38295334919,2073535,98.9614677801469
2011,YR2011,Brazil,BRA,2616156223917.69,13396.6243562986,195284734,23.9344051758721
2011,YR2011,British Virgin Islands,VGB,..,..,28710,..
2011,YR2011,Brunei Darussalam,BRN,18524791070.6802,46382.8274456238,399389,99.5379308607069
2011,YR2011,Bulgaria,BGR,57681293006.9721,7849.58061302818,7348328,117.41810388629
2011,YR2011,Burkina Faso,BFA,12080295977.5632,725.024767725475,16661908,57.4972531038508
2011,YR2011,Burundi,BDI,2235820809.32006,230.070577369084,9717978,43.0000028373483
2011,YR2011,Cabo Verde,CPV,2046817987.20109,4002.01386888785,511447,90.5564501122747
2011,YR2011,Cambodia,KHM,16032622023.8265,1088.98152823081,14722584,109.790505166814
2011,YR2011,Cameroon,CMR,30630910495.217,1513.96056994878,20232304,51.521987603918
2011,YR2011,Canada,CAN,1793326630174.52,52223.8588398531,34339221,62.4987387708328
2011,YR2011,Cayman Islands,CYM,4186073104.29242,75280.960764889,55606,..
2011,YR2011,Central African Republic,CAF,2437982705.12093,534.057281471636,4565021,34.4756183327299
2011,YR2011,Chad,TCD,16685349673.9957,1308.1421872538,12754997,57.5437561870898
2011,YR2011,Channel Islands,CHI,9649313892.00449,60419.2321641296,159706,..
2011,YR2011,Chile,CHL,251382573893.87,14487.3927832032,17351816,72.4816428077334
2011,YR2011,China,CHN,7671757207851.29,5703.76027973346,1345035000,49.9458272253443
2011,YR2011,Colombia,COL,334966134804.887,7400.9940695669,45259614,39.4704235545367
2011,YR2011,Comoros,COM,1023087475.68355,1531.43969320468,668056,40.0009485841888
2011,YR2011,"Congo, Dem. Rep.",COD,25839749199.3671,364.714191777632,70849311,85.1981441919418
2011,YR2011,"Congo, Rep.",COG,15655383576.6515,3396.16505817952,4609724,124.591742710141
2011,YR2011,Costa Rica,CRI,42762613698.9258,9276.39107510528,4609833,68.639146507318
2011,YR2011,Cote d'Ivoire,CIV,36693710801.3976,1596.62826565998,22982000,64.7159030611345
2011,YR2011,Croatia,HRV,62903737379.7834,14694.9993201417,4280622,77.7657386922551
2011,YR2011,Cuba,CUB,68990000000,6104.46105236166,11301571,46.9604290476881
2011,YR2011,Curacao,CUW,2930092234.63687,19426.326382752,150831,172.9234179922
2011,YR2011,Cyprus,CYP,27641547909.7011,32485.796875,1146493,110.617136857424
2011,YR2011,Czechia,CZE,231429378717.312,22049.1080788682,10496088,136.750855542438
2011,YR2011,Denmark,DNK,344315595263.175,61809.737898222,5570572,102.012930474308
2011,YR2011,Djibouti,DJI,1239144501.77525,1306.34552844977,948558,..
2011,YR2011,Dominica,DMA,532081481.481481,7705.40717248319,69053,..
2011,YR2011,Dominican Republic,DOM,57948261615.957,5826.51014109195,9945621,59.0692578401698
2011,YR2011,Ecuador,ECU,78986648000,5153.6916424375,15326227,70.0356837525249
2011,YR2011,"Egypt, Arab Rep.",EGY,235989672977.625,2590.64384891965,91093059,45.2556341623514
2011,YR2011,El Salvador,SLV,20283780000,3330.60049486653,6090127,79.2766437025052
2011,YR2011,Equatorial Guinea,GNQ,21357343668.9447,17198.2136668275,1241835,114.37734663649
