Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Trade (% of GDP) [NE.TRD.GNFS.ZS]
2000,YR2000,Afghanistan,AFG,3521418059.92345,174.930991430166,20130327,..
2000,YR2000,Albania,ALB,3584570164.85195,1160.42047054038,3089027,61.6092610436407
2000,YR2000,Algeria,DZA,54790398570.3282,1772.92869122761,30903893,62.8583436360347
2000,YR2000,American Samoa,ASM,..,..,56855,..
2000,YR2000,Andorra,AND,1432606188.69324,21810.2487431414,65685,..
2000,YR2000,Angola,AGO,9129594970.15301,563.733795571487,16194869,..
2000,YR2000,Antigua and Barbuda,ATG,901003703.703704,12027.4949768222,74912,..
2000,YR2000,Argentina,ARG,284203750000,7637.01489203628,37213984,22.6224447777343
2000,YR2000,Armenia,ARM,1911563668.85006,593.450581742282,3221100,72.2333302273367
2000,YR2000,Aruba,ABW,1873452513.96648,20681.0230269625,90588,145.072879516204
2000,YR2000,Australia,AUS,416167815092.908,21870.4159669594,19028802,40.9352109785505
2000,YR2000,Austria,AUT,196181599831.287,24487.2974685956,8011566,85.8426077336549
2000,YR2000,Azerbaijan,AZE,5272615722.96892,655.097249579917,8048600,78.5485682796041
2000,YR2000,"Bahamas, The",BHS,8076470000,24940.0775086078,323835,79.6449438925669
2000,YR2000,Bahrain,BHR,9062898936.17021,14214.4836839343,637582,135.809135327865
2000,YR2000,Bangladesh,BGD,53369787318.6245,396.670730249751,134544304,29.3217143619038
2000,YR2000,Barbados,BRB,3059500000,11674.6736471764,262063,..
2000,YR2000,Belarus,BLR,12736780455.1539,1276.28038121269,9979610,141.609165955024
2000,YR2000,Belgium,BEL,236792460312.471,23098.8865077401,10251250,142.230135067034
2000,YR2000,Belize,BLZ,1138900000,4729.67080428075,240799,96.5405215558873
2000,YR2000,Benin,BEN,3519991440.47913,487.424141384242,7221619,47.3481515012844
2000,YR2000,Bermuda,BMU,3480219000,56542.9569455727,61550,..
2000,YR2000,Bhutan,BTN,460733418.399276,771.924911410619,596863,74.0264971104432
2000,YR2000,Bolivia,BOL,8397855484.76908,975.777060358751,8606326,45.5977750218555
2000,YR2000,Bosnia and Herzegovina,BIH,5567772768.81188,1338.48059636261,4159771,85.3577431341788
2000,YR2000,Botswana,BWA,5788329609.15755,3450.81180622992,1677382,91.924729689918
2000,YR2000,Brazil,BRA,655448231983.527,3766.54811466032,174018282,22.6397613567941
2000,YR2000,British Virgin Islands,VGB,..,..,20241,..
2000,YR2000,Brunei Darussalam,BRN,6570999059.70575,20130.2571493081,326424,87.0553333568928
2000,YR2000,Bulgaria,BGR,13245990274.4581,1621.26210738992,8170172,77.7457041594489
2000,YR2000,Burkina Faso,BFA,2968370087.59759,248.908526921752,11925546,35.1229419704263
2000,YR2000,Burundi,BDI,870486065.883137,134.537861752389,6470194,22.5537244890286
2000,YR2000,Cabo Verde,CPV,539227277.626411,1189.51479345891,453317,87.5206083614917
2000,YR2000,Cambodia,KHM,3694168979.32019,296.426687526334,12462336,110.397125303731
2000,YR2000,Cameroon,CMR,10566579294.9831,708.565731625965,14912631,47.9279442460149
2000,YR2000,Canada,CAN,744773415931.587,24271.0020563821,30685730,82.7653578503214
2000,YR2000,Cayman Islands,CYM,..,..,39674,..
2000,YR2000,Central African Republic,CAF,916777282.691659,239.154133726071,3833416,45.6597819937269
2000,YR2000,Chad,TCD,1388506771.58756,163.121663683369,8512093,51.5711720135652
2000,YR2000,Channel Islands,CHI,6439703434.71024,43479.1940767689,148110,..
2000,YR2000,Chile,CHL,78339750721.364,5052.99245766325,15503635,58.7119230876973
2000,YR2000,China,CHN,1223754919971.05,969.199513696287,1262645000,39.0109424774998
