Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Population, total [SP.POP.TOTL]"
2003,YR2003,Afghanistan,AFG,4520946818.54581,198.871115728727,..,22733049
2003,YR2003,Albania,ALB,5801712040.48463,1908.69900687608,64.8232150960777,3039616
2003,YR2003,Algeria,DZA,73482264190.9245,2283.77299346126,57.7691353044878,32175818
2003,YR2003,American Samoa,ASM,524000000,9197.66196836987,207.442748091603,56971
2003,YR2003,Andorra,AND,2366941808.94404,34063.5784034776,..,69486
2003,YR2003,Angola,AGO,17812704586.4397,992.698979254665,103.901229551372,17943712
2003,YR2003,Antigua and Barbuda,ATG,948100000,12173.2319860305,..,77884
2003,YR2003,Argentina,ARG,127586973492.177,3320.47775133903,40.6447480311085,38424282
2003,YR2003,Armenia,ARM,2807061008.69084,882.030167695474,80.0513676022426,3182500
2003,YR2003,Aruba,ABW,2044111731.84358,21949.4859960868,132.794291274023,93128
2003,YR2003,Australia,AUS,467739079790.332,23718.1338501868,40.2015669125448,19720737
2003,YR2003,Austria,AUT,260779834340.097,32110.1159661425,86.8822263228608,8121423
2003,YR2003,Azerbaijan,AZE,7276413079.11451,883.692580745256,107.551948506262,8234100
2003,YR2003,"Bahamas, The",BHS,8870090000,26429.1247787663,71.063540505226,335618
2003,YR2003,Bahrain,BHR,11074813829.7872,14486.0269029822,128.091582155216,764517
2003,YR2003,Bangladesh,BGD,60158929188.2556,426.74880754362,27.657884900158,140970351
2003,YR2003,Barbados,BRB,3209500000,12075.9587020649,..,265776
2003,YR2003,Belarus,BLR,17825444724.4878,1819.52653114699,134.141852273225,9796749
2003,YR2003,Belgium,BEL,318082528506.588,30655.2092679024,132.715552833888,10376133
2003,YR2003,Belize,BLZ,1308900000,4962.08962013799,94.3158377263351,263780
2003,YR2003,Benin,BEN,5349258094.48239,676.002878084282,41.6162305574334,7913070
2003,YR2003,Bermuda,BMU,4186525000,67106.8028083224,..,62386
2003,YR2003,Bhutan,BTN,651935430.314445,1022.38240311018,72.8499006593611,637663
2003,YR2003,Bolivia,BOL,8082399639.54305,893.013760211149,51.967836443987,9050700
2003,YR2003,Bosnia and Herzegovina,BIH,8498894359.38629,2033.94700935864,80.5694572639365,4178523
2003,YR2003,Botswana,BWA,7511582173.37724,4230.12326909926,85.8340425151264,1775736
2003,YR2003,Brazil,BRA,558233745651.874,3090.6070097455,28.1403847231593,180622688
2003,YR2003,British Virgin Islands,VGB,..,..,..,22134
2003,YR2003,Brunei Darussalam,BRN,7167725264.75135,20677.9001224663,89.0856160636546,346637
