Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Trade (% of GDP) [NE.TRD.GNFS.ZS]
2022,YR2022,Afghanistan,AFG,14497243872.1337,357.261152798144,40578842,72.8854696086536
2022,YR2022,Albania,ALB,19017244116.7203,6846.42669381643,2777689,84.6980571024438
2022,YR2022,Algeria,DZA,225638456572.143,4961.55257664733,45477389,51.2023757404409
2022,YR2022,American Samoa,ASM,871000000,18017.4589383973,48342,124.684270952928
2022,YR2022,Andorra,AND,3380612573.32922,42414.0590092117,79705,..
2022,YR2022,Angola,AGO,104399746853.401,2929.69445467272,35635029,69.6910705054094
2022,YR2022,Antigua and Barbuda,ATG,1866566666.66667,20105.1989085164,92840,117.703527768353
2022,YR2022,Argentina,ARG,632790070063.124,13935.6811110049,45407904,31.5477080051071
2022,YR2022,Armenia,ARM,19513506553.1251,6571.97445545099,2969200,101.41077826094
2022,YR2022,Aruba,ABW,3279343543.60416,30559.5335346581,107310,172.884171676527
2022,YR2022,Australia,AUS,1690858246994.43,64997.0136536475,26014399,45.8217702307271
2022,YR2022,Austria,AUT,471773629830.381,52176.6649141178,9041851,124.38345148483
2022,YR2022,Azerbaijan,AZE,78807470588.2353,7770.594223351,10141756,86.9822732541779
2022,YR2022,"Bahamas, The",BHS,13896800000,34957.1613279737,397538,75.9829601059237
2022,YR2022,Bahrain,BHR,46458191489.3617,30470.5219276023,1524693,167.141241152535
2022,YR2022,Bangladesh,BGD,460131689083.083,2716.48592780431,169384897,33.7799672705735
2022,YR2022,Barbados,BRB,6257303500,22164.0260273876,282318,..
2022,YR2022,Belarus,BLR,73775179924.603,7994.64806074889,9228071,120.024207576094
2022,YR2022,Belgium,BEL,593614574325.878,50822.2518538518,11680210,191.939444094087
2022,YR2022,Belize,BLZ,2846700000,7068.45478269722,402733,108.52917413145
2022,YR2022,Benin,BEN,17425405083.8797,1266.42710981159,13759501,44.3815928877424
2022,YR2022,Bermuda,BMU,7874381000,121613.939983629,64749,75.1972250263227
2022,YR2022,Bhutan,BTN,2898227743.75576,3711.32767981591,780914,85.5712165226139
2022,YR2022,Bolivia,BOL,44008282879.8842,3643.92826984604,12077154,67.7558987681252
2022,YR2022,Bosnia and Herzegovina,BIH,24534663636.1778,7655.59421024383,3204802,110.20596766123
2022,YR2022,Botswana,BWA,20321150598.0672,8328.70905682185,2439892,85.6117077589148
2022,YR2022,Brazil,BRA,1951923942083.32,9281.33334441234,210306415,38.8160659763397
2022,YR2022,British Virgin Islands,VGB,..,..,38319,..
2022,YR2022,Brunei Darussalam,BRN,16681536442.5498,36632.9280421411,455370,146.973966092536
2022,YR2022,Bulgaria,BGR,90509236929.2237,13999.6719197289,6465097,138.84014681798
2022,YR2022,Burkina Faso,BFA,18820218690.5948,836.118304593682,22509038,64.8438739203037
2022,YR2022,Burundi,BDI,3338722827.65691,250.634225368744,13321097,28.315320358729
2022,YR2022,Cabo Verde,CPV,2247003344.34242,4323.31362032709,519741,96.9941368513357
2022,YR2022,Cambodia,KHM,39994532959.6074,2325.03050040841,17201724,145.873632761406
2022,YR2022,Cameroon,CMR,44347206072.5513,1604.87726954895,27632771,41.2866025594679
2022,YR2022,Canada,CAN,2190411080134.32,56256.8007264015,38935934,67.3176215563989
2022,YR2022,Cayman Islands,CYM,6600843963.37585,92202.1478031576,71591,..
2022,YR2022,Central African Republic,CAF,2382618615.01694,467.359825026238,5098039,45.23357000162
2022,YR2022,Chad,TCD,17828508289.6049,966.036468278568,18455316,47.9883784319429
2022,YR2022,Channel Islands,CHI,11308300382.1028,67627.3084478235,167215,..
2022,YR2022,Chile,CHL,301226575540.242,15405.6165774073,19553036,75.2016177425303
2022,YR2022,China,CHN,18316765021690.2,12970.6056414327,1412175000,37.4407198763585
2022,YR2022,Colombia,COL,345632492851.448,6680.44506854481,51737944,48.2826551123359
2022,YR2022,Comoros,COM,1279542248.45017,1533.87755332151,834188,50.3887704882382
2022,YR2022,"Congo, Dem. Rep.",COD,65801547755.6552,642.612267148918,102396968,93.7286668861721
2022,YR2022,"Congo, Rep.",COG,15817030156.9459,2620.83804304713,6035104,98.1613366922001
2022,YR2022,Costa Rica,CRI,69243626028.6698,13625.9008491478,5081765,82.227532535289
2022,YR2022,Cote d'Ivoire,CIV,70922824824.0069,2333.37128334477,30395002,52.8663910413483
2022,YR2022,Croatia,HRV,71198635101.9514,18466.0955472648,3855641,125.213857590974
2022,YR2022,Cuba,CUB,..,..,11059820,93.8607755890525
2022,YR2022,Curacao,CUW,3075180834.72417,20501.7522782219,149996,..
2022,YR2022,Cyprus,CYP,30935566076.6788,33894.44921875,1331370,207.632427046376
2022,YR2022,Czechia,CZE,301831228325.556,28282.2236715857,10672118,144.011494109397
2022,YR2022,Denmark,DNK,401945576107.963,68091.3191138669,5903037,131.54315114232
2022,YR2022,Djibouti,DJI,3562814908.76149,3133.25779772463,1137096,302.285409231545
2022,YR2022,Dominica,DMA,623062962.962963,9323.66089490562,66826,..
2022,YR2022,Dominican Republic,DOM,113478087134.8,10104.2449349081,11230734,54.3781976712844
2022,YR2022,Ecuador,ECU,116133121000,6515.58528418336,17823897,61.880792818786
2022,YR2022,"Egypt, Arab Rep.",EGY,476747720364.742,4233.30783744856,112618250,36.9831048772713
2022,YR2022,El Salvador,SLV,31870120000,5074.60210221806,6280319,88.7011093776867
2022,YR2022,Equatorial Guinea,GNQ,13687643435.6249,7589.29964909381,1803545,81.8130161368099
2022,YR2022,Eritrea,ERI,..,..,3409447,..
2022,YR2022,Estonia,EST,38376046174.971,28451.1477825175,1348840,174.563994182116
2022,YR2022,Eswatini,SWZ,4741163884.9523,3889.65276959161,1218917,92.6789042197449
2022,YR2022,Ethiopia,ETH,126772707851.339,1011.07332413462,125384287,26.5954996967313
2022,YR2022,Faroe Islands,FRO,3566698397.6602,66139.3809716876,53927,124.535531033936
2022,YR2022,Fiji,FJI,4969503549.32096,5405.03006162671,919422,117.506559634974
2022,YR2022,Finland,FIN,280253099309.34,50440.560224974,5556106,94.5625340522667
2022,YR2022,France,FRA,2796302210398.84,41082.8119320747,68065015,75.7901436111221
2022,YR2022,French Polynesia,PYF,5814661208.90544,20738.6499971661,280378,67.2309662556929
2022,YR2022,Gabon,GAB,20440655695.229,8409.20741452279,2430747,92.0630888496921
2022,YR2022,"Gambia, The",GMB,2204734527.12734,836.244875582631,2636470,44.7219215522334
2022,YR2022,Georgia,GEO,24984568959.605,6729.84659930283,3712502,114.695437688718
2022,YR2022,Germany,DEU,4163596357879.39,49686.1154582583,83797985,89.0641273695259
2022,YR2022,Ghana,GHA,73919003209.9866,2229.89122647803,33149152,70.1154557958907
2022,YR2022,Gibraltar,GIB,..,..,37609,..
2022,YR2022,Greece,GRC,218880566444.349,20971.8349258283,10436882,107.679207902405
2022,YR2022,Greenland,GRL,3152334771.77992,55635.0006491223,56661,93.3651328766632
2022,YR2022,Grenada,GRD,1231732103.7037,10535.4588771454,116913,..
2022,YR2022,Guam,GUM,6910000000,41833.1517132825,165180,71.8668596237337
2022,YR2022,Guatemala,GTM,95641441234.943,5358.70127494396,17847877,54.4310414653089
2022,YR2022,Guinea,GIN,19910452541.9219,1416.59612011764,14055137,94.1652726931221
2022,YR2022,Guinea-Bissau,GNB,1839048747.87671,873.437861875428,2105529,46.2708566194737
2022,YR2022,Guyana,GUY,14718388489.2086,17913.4928066879,821637,..
2022,YR2022,Haiti,HTI,20253551920.5516,1760.62635668777,11503606,36.529550283828
2022,YR2022,Honduras,HND,31426041806.7985,3003.28996826399,10463872,112.698524913966
2022,YR2022,"Hong Kong SAR, China",HKG,358679533984.718,48825.8441873536,7346100,384.881143223724
2022,YR2022,Hungary,HUN,177536698164.902,18483.6366867035,9605074,183.808014139622
2022,YR2022,Iceland,ISL,28696453180.1657,75121.0152280628,382003,92.0771911313757
2022,YR2022,India,IND,3346107287730.93,2347.44829434623,1425423212,50.0752701498882
2022,YR2022,Indonesia,IDN,1319101183380.15,4730.83484836107,278830529,45.4646701959453
2022,YR2022,"Iran, Islamic Rep.",IRN,394362621793.035,4405.09291519791,89524246,51.597506811024
2022,YR2022,Iraq,IRQ,287372232137.931,6520.73154560584,44070551,68.75879409409
2022,YR2022,Ireland,IRL,548570250341.987,105234.511567597,5212836,232.129490581307
2022,YR2022,Isle of Man,IMN,7431257410.92713,88328.548125887,84132,..
2022,YR2022,Israel,ISR,525181008025.57,54949.621556429,9557500,60.6448526742952
2022,YR2022,Italy,ITA,2104067630319.46,35653.9042103495,59013667,72.0165023032697
2022,YR2022,Jamaica,JAM,17097760686.7775,6022.15339791763,2839144,..
2022,YR2022,Japan,JPN,4262463317796.53,34065.6438962526,125124989,46.8129868368938
2022,YR2022,Jordan,JOR,48764963380.2817,4332.25159897931,11256263,104.095459439189
2022,YR2022,Kazakhstan,KAZ,225496328925.494,11255.3396437881,20034609,68.3343147415612
2022,YR2022,Kenya,KEN,114448978152.637,2109.56288513137,54252461,33.6911387270322
2022,YR2022,Kiribati,KIR,270040456.961045,2069.76720110559,130469,108.143660536647
2022,YR2022,"Korea, Dem. People's Rep.",PRK,..,..,26328845,..
2022,YR2022,"Korea, Rep.",KOR,1673916511799.71,32394.6833725203,51672569,96.5364092886865
2022,YR2022,Kosovo,XKX,9354903061.8898,5290.94747224687,1768096,110.012031619226
2022,YR2022,Kuwait,KWT,183502046669.15,39981.7690981957,4589643,90.9188102145939
2022,YR2022,Kyrgyz Republic,KGZ,12134931017.9465,1739.72018344174,6975220,133.786718048766
2022,YR2022,Lao PDR,LAO,15468785203.7532,2046.40440255621,7559007,..
2022,YR2022,Latvia,LVA,38014713595.7686,20227.2307431581,1879383,159.84434485906
2022,YR2022,Lebanon,LBN,20992421948.8081,3654.35845534878,5744489,114.888278265666
2022,YR2022,Lesotho,LSO,2354980884.15271,1030.12579628833,2286110,142.373981443861
2022,YR2022,Liberia,LBR,4001047000,744.617175237387,5373294,..
2022,YR2022,Libya,LBY,43246297921.8499,5986.63694851258,7223805,156.321684682347
2022,YR2022,Liechtenstein,LIE,7378156576.2354,186821.881757157,39493,..
2022,YR2022,Lithuania,LTU,71033884499.7824,25085.784063499,2831639,175.651612151093
2022,YR2022,Luxembourg,LUX,80801680397.0139,123719.658915996,653103,412.177169924175
2022,YR2022,"Macao SAR, China",MAC,24999113475.8368,36909.9564090312,677300,168.081022502393
2022,YR2022,Madagascar,MDG,15325603272.6073,503.514533472879,30437261,70.5471344131153
2022,YR2022,Malawi,MWI,12429060150.742,604.269751184515,20568728,..
2022,YR2022,Malaysia,MYS,407605841348.235,11748.0919307944,34695493,146.505418280787
2022,YR2022,Maldives,MDV,6177118113.94637,11786.0091545343,524106,162.243570519228
2022,YR2022,Mali,MLI,22374051349.9445,969.72220560562,23072640,61.6636979670454
2022,YR2022,Malta,MLT,19239187083.5194,36224.2819955817,531113,243.415382342225
2022,YR2022,Marshall Islands,MHL,253400000,6322.82855503156,40077,118.835319652723
2022,YR2022,Mauritania,MRT,9557966698.25369,1960.35240077424,4875637,102.025899125696
2022,YR2022,Mauritius,MUS,12907767789.5967,10223.7882316574,1262523,112.584757873474
2022,YR2022,Mexico,MEX,1466464899303.68,11402.1410374782,128613117,88.8269347828552
2022,YR2022,"Micronesia, Fed. Sts.",FSM,415956896.458884,3710.12448453257,112114,87.7013226864624
2022,YR2022,Moldova,MDA,14525337523.7271,5744.29618434435,2528654,112.117671579766
2022,YR2022,Monaco,MCO,8800430486.17137,226052.001905201,38931,..
2022,YR2022,Mongolia,MNG,17146471713.748,4993.51487463495,3433748,136.327929944516
2022,YR2022,Montenegro,MNE,6229801580.79157,9990.20444616996,623591,125.898604629493
2022,YR2022,Morocco,MAR,130951926351.241,3455.39624023438,37329064,101.132382053244
2022,YR2022,Mozambique,MOZ,18883528581.3734,578.251663751351,32656246,135.279578416991
2022,YR2022,Myanmar,MMR,62253049891.6449,1158.05005034332,53756787,..
2022,YR2022,Namibia,NAM,12569449123.3661,4349.79908493314,2889662,99.2625547753262
2022,YR2022,Nauru,NRU,152190818.868952,12896.4341046481,11801,167.539569662011
2022,YR2022,Nepal,NPL,41182939600.6209,1385.91066274851,29715436,48.9734014799428
2022,YR2022,Netherlands,NLD,1046540797548.64,59123.318556487,17700982,184.107484252682
2022,YR2022,New Caledonia,NCL,9623318718.31459,33516.363085906,287123,..
2022,YR2022,New Zealand,NZL,249509991440.438,48760.0381935936,5117100,53.4761627655817
2022,YR2022,Nicaragua,NIC,15634572502.2294,2322.89053964583,6730654,115.454678712865
2022,YR2022,Niger,NER,15433852714.4935,609.745147661683,25311973,52.8061484329409
2022,YR2022,Nigeria,NGA,477403400101.174,2139.37478476974,223150896,..
2022,YR2022,North Macedonia,MKD,13932436550.0883,7606.2375253797,1831712,166.147357379878
2022,YR2022,Northern Mariana Islands,MNP,1096000000,23785.754590043,46078,93.1569343065693
2022,YR2022,Norway,NOR,596297651035.798,109269.520580298,5457127,82.6094798361389
2022,YR2022,Oman,OMN,109852795838.752,23223.5829405935,4730226,105.745009280655
2022,YR2022,Pakistan,PAK,374890295666.694,1538.3228133171,243700667,33.031353478032
2022,YR2022,Palau,PLW,255591100,14392.2011374514,17759,87.7375620669108
2022,YR2022,Panama,PAN,76276116700,17332.4360742988,4400773,93.687178754867
2022,YR2022,Papua New Guinea,PNG,31653185952.609,3102.28968594061,10203169,..
2022,YR2022,Paraguay,PRY,41952910858.088,6205.6259537937,6760464,73.7379050218533
2022,YR2022,Peru,PER,246065570308.155,7350.63034300417,33475438,57.2969759649721
2022,YR2022,Philippines,PHL,404353369604.631,3548.06930572116,113964338,72.4296836107599
2022,YR2022,Poland,POL,695607522884.822,18891.213529396,36821749,123.021332860345
2022,YR2022,Portugal,PRT,256898675068.927,24620.519556875,10434332,101.364147310434
2022,YR2022,Puerto Rico (US),PRI,113843700000,35353.6821570014,3220137,98.2586651698776
2022,YR2022,Qatar,QAT,235709325714.286,88701.463352273,2657333,100.213647199618
2022,YR2022,Romania,ROU,296354358293.475,15557.8826247584,19048502,93.6215624887545
2022,YR2022,Russian Federation,RUS,2291612121334.64,15619.6142578125,144236933,42.7827864294811
2022,YR2022,Rwanda,RWA,13316161005.7244,975.469323979541,13651030,61.1450795033651
2022,YR2022,Samoa,WSM,832945205.637185,3869.46639492144,215261,64.9831803274504
2022,YR2022,San Marino,SMR,1831700577.08904,54264.570495898,33755,370.436071813414
2022,YR2022,Sao Tome and Principe,STP,540809499.189348,2389.73729784737,226305,..
2022,YR2022,Saudi Arabia,SAU,1239075200000,38510.2276211037,32175224,56.8241647749332
2022,YR2022,Senegal,SEN,27783332222.6759,1574.0281059306,17651103,79.5998216515832
2022,YR2022,Serbia,SRB,66797564758.339,10022.9688543402,6664449,131.93764235858
2022,YR2022,Seychelles,SYC,2018346588.73752,16836.6721895387,119878,189.826835436591
2022,YR2022,Sierra Leone,SLE,7124465159.65304,860.774590932595,8276807,45.0330918170265
2022,YR2022,Singapore,SGP,509017841146.557,90299.0694637269,5637022,332.34956775484
2022,YR2022,Sint Maarten (Dutch part),SXM,1537088715.0838,36476.6300833859,42139,..
2022,YR2022,Slovak Republic,SVK,115884262197.697,21334.6011006572,5431752,203.928968248026
2022,YR2022,Slovenia,SVN,59927702746.2843,28373.8382265999,2112076,186.21959497631
2022,YR2022,Solomon Islands,SLB,1566360686.10632,2005.4139933198,781066,78.0359309562018
2022,YR2022,Somalia,SOM,10202767269.9992,573.128092472349,17801897,90.759891164324
2022,YR2022,South Africa,ZAF,406920004594.074,6523.41097815853,62378410,64.7830021330108
2022,YR2022,South Sudan,SSD,..,..,11021177,..
2022,YR2022,Spain,ESP,1446498147749.03,30270.2687017458,47786102,78.6275624641006
2022,YR2022,Sri Lanka,LKA,74143020262.8076,3342.63650253855,22181000,46.6826080196819
2022,YR2022,St. Kitts and Nevis,KNA,980188888.888889,20985.0112160159,46709,..
2022,YR2022,St. Lucia,LCA,2342714814.81481,13103.8243147472,178781,..
2022,YR2022,St. Martin (French part),MAF,..,..,28870,..
2022,YR2022,St. Vincent and the Grenadines,VCT,989188888.888889,9693.55867833025,102046,..
2022,YR2022,Sudan,SDN,51666875363.0963,1046.24084472656,49383346,2.69883443585856
2022,YR2022,Suriname,SUR,3791603200.0259,6084.43876736445,623164,..
2022,YR2022,Sweden,SWE,579895717343.956,55296.9371472535,10486941,105.855015275665
2022,YR2022,Switzerland,CHE,828508926958.393,94394.5106803525,8777088,138.500698753519
2022,YR2022,Syrian Arab Republic,SYR,23622827079.5047,1051.67149587463,22462173,35.6094680799956
2022,YR2022,Tajikistan,TJK,10713525200.3998,1052.17949484894,10182222,65.4355115893577
2022,YR2022,Tanzania,TZA,75769974505.0106,1207.85302734375,64711821,35.0034517101994
2022,YR2022,Thailand,THA,495644697587.661,6909.35281815827,71735329,132.858712082871
2022,YR2022,Timor-Leste,TLS,3208593982.01071,2343.24523350389,1369295,97.6219215507319
2022,YR2022,Togo,TGO,8169476148.95692,898.758154410712,9089738,65.4877850146886
2022,YR2022,Tonga,TON,518180029.413435,4933.07466930785,105042,75.3152289886984
