Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Trade (% of GDP) [NE.TRD.GNFS.ZS]
2015,YR2015,Afghanistan,AFG,19134221644.7325,565.569730408751,33831764,..
2015,YR2015,Albania,ALB,11470171826.9575,3981.72662261867,2880703,71.2794476606014
2015,YR2015,Algeria,DZA,187493855609.345,4685.05902729002,40019529,53.2046225904145
2015,YR2015,American Samoa,ASM,673000000,12727.4102651386,52878,162.407132243685
2015,YR2015,Andorra,AND,2789881258.50362,38654.9347203095,72174,..
2015,YR2015,Angola,AGO,90496420506.5957,3213.90261080059,28157798,62.8885160890192
2015,YR2015,Antigua and Barbuda,ATG,1437485185.18519,16077.6340769406,89409,130.071549851721
2015,YR2015,Argentina,ARG,594749285413.212,13679.6264980954,43477012,22.4862260889792
2015,YR2015,Armenia,ARM,10553337518.414,3512.39350276709,3004600,71.6820743427575
2015,YR2015,Aruba,ABW,2962907262.56983,27458.2253310273,107906,145.833663297637
2015,YR2015,Australia,AUS,1351296372254.31,56739.0265346593,23815995,41.6639319280984
2015,YR2015,Austria,AUT,379546097300.633,43915.228020857,8642699,103.11758174626
2015,YR2015,Azerbaijan,AZE,53076235354.746,5500.50364628486,9649341,72.6015079073189
2015,YR2015,"Bahamas, The",BHS,11837600000,30719.405417469,385346,69.6779752652565
2015,YR2015,Bahrain,BHR,32523297872.3404,23734.0551143019,1370322,147.916060172904
2015,YR2015,Bangladesh,BGD,195146608978.131,1224.38647668165,159383179,42.0859963070382
2015,YR2015,Barbados,BRB,5288057750,18954.2913724506,278990,..
2015,YR2015,Belarus,BLR,56454769844.7632,5967.05595058777,9461076,115.914826201946
2015,YR2015,Belgium,BEL,461044767544.531,40893.804537772,11274196,155.068682045926
2015,YR2015,Belize,BLZ,2193050000,6154.49593498217,356333,104.078794373133
2015,YR2015,Benin,BEN,11388160996.7738,1002.41886879614,11360681,56.7563131849476
2015,YR2015,Bermuda,BMU,6654541000,104855.366822135,63464,73.2954985174785
2015,YR2015,Bhutan,BTN,2187815803.36833,2954.04081911097,740618,89.6391604595496
2015,YR2015,Bolivia,BOL,33000198248.9146,2996.01289811344,11014705,67.9328451905248
2015,YR2015,Bosnia and Herzegovina,BIH,16404348871.4437,4662.25883724069,3518541,88.2919898407608
2015,YR2015,Botswana,BWA,13530748844.505,6141.20394726616,2203273,112.900891016005
